Year,Number of Parameters (Log Scale),Domain
2022,705134592,Language
2022,1900000000,Language
2022,7500000000,Language
2022,20000000000,Language
2022,1.37E+11,Language
2022,3200000000,Language
2022,70000000000,Language
2022,5.4035E+11,Language
2022,3500000000,Language
2022,1.75E+11,Language
2022,7000000000,Language
2022,20000000000,Language
2022,5.4035E+11,Language
2022,54500000000,Language
2022,1.3E+11,Language
2022,1.76E+11,Language
2022,1.2E+11,Language
2022,1E+11,Language
2022,19750000000,Language
2022,3500000000,Language
2021,1.6E+12,Language
2021,2600000000,Language
2021,9400000000,Language
2021,2700000000,Language
2021,1E+12,Language
2021,27000000000,Language
2021,2.07E+11,Language
2021,6053381344,Language
2021,2.04E+11,Language
2021,1500000000,Language
2021,10000000000,Language
2021,12000000000,Language
2021,1000000000,Language
2021,1.78E+11,Language
2021,10700000000,Language
2021,1.37E+11,Language
2021,5.3E+11,Language
2021,2.45E+11,Language
2021,11000000000,Language
2021,1600000000,Language
2021,2.457E+11,Language
2021,2.8E+11,Language
2021,7500000000,Language
2021,2.6E+11,Language
2021,1500000000,Language
2020,2600000000,Language
2020,66000000,Language
2020,235000000,Language
2020,17000000000,Language
2020,335000000,Language
2020,25300000,Language
2020,1.75E+11,Language
2020,51100000,Language
2020,2300000000,Language
2020,6E+11,Language
2020,340000000,Language
2020,110000000,Language
2020,2600000000,Language
2020,1500000000,Language
2019,330000000,Language
2019,1500000000,Language
2019,1500000000,Language
2019,665000000,Language
2019,340000000,Language
2019,355000000,Language
2019,3900000000,Language
2019,8300000000,Language
2019,2027777.778,Language
2019,66000000,Language
2019,11000000000,Language
2019,3000000000,Language
2019,406291456,Language
2018,94000000,Language
2018,117000000,Language
2018,340000000,Language
2018,6000000000,Language
2017,8700000000,Language
2017,213000000,Language
2016,278000000,Language
2015,205190,Language
2014,120000000,Language
2014,120000000,Language
2014,1021535,Language
2014,384000000,Language
2013,6920000000,Language
2013,207600000,Language
2012,3510255,Language
2011,5000000,Language
2008,3000000,Language
2007,490000,Language
2006,100,Language
2005,120000000,Language
2003,11904264,Language
2003,9178890,Language
1993,1658364,Language
1986,211600,Language
2022,705134592,Vision
2021,480000000,Vision
2021,1800000000,Vision
2021,1300000000,Vision
2020,7700000,Vision
2020,52000000,Vision
2020,86000000,Vision
2020,632000000,Vision
2019,36500000,Vision
2019,26000000,Vision
2019,193000000,Vision
2019,480000000,Vision
2019,4900000,Vision
2019,5200000,Vision
2019,829000000,Vision
2019,38000000,Vision
2019,579000000,Vision
2019,480000000,Vision
2019,928000000,Vision
2018,469000000,Vision
2018,87000000,Vision
2018,106085216,Vision
2018,829000000,Vision
2018,3400000,Vision
2018,2280000,Vision
2018,557000000,Vision
2017,4200000,Vision
2017,2430000,Vision
2017,89000000,Vision
2017,34000000,Vision
2017,53000000,Vision
2017,28100000,Vision
2017,8200000,Vision
2017,11360000,Vision
2017,86000000,Vision
2016,43000000,Vision
2016,56000000,Vision
2016,1200000,Vision
2016,34000000,Vision
2016,22855952,Vision
2016,37400000,Vision
2016,25000000,Vision
2016,92000000,Vision
2016,51000000,Vision
2015,87048800,Vision
2015,6797700,Vision
2015,64459968,Vision
2015,23626728,Vision
2015,60000000,Vision
2015,1700000,Vision
2014,138000000,Vision
2014,144000000,Vision
2014,142552000,Vision
2013,37230,Vision
2013,69003872,Vision
2012,1994300,Vision
2012,5592010,Vision
2012,60000000,Vision
2011,15260,Vision
2010,12110000,Vision
2010,7082000,Vision
2010,16210006,Vision
2007,100881,Vision
2006,37097,Vision
2006,3800000,Vision
2006,1600000,Vision
2004,100000,Vision
2003,451,Vision
2001,120000000,Vision
1998,60000,Vision
1996,6452,Vision
1989,9760,Vision
1980,1140576,Vision
1960,17,Vision
1959,2625,Vision
1957,400,Vision
1955,225,Vision
2021,1683456,Games
2021,3500000,Games
2020,907264,Games
2019,764000,Games
2019,126001330,Games
2019,1600000,Games
2019,139000000,Games
2019,36864000,Games
2019,159000000,Games
2019,159000000,Games
2018,1600000,Games
2018,122000000,Games
2018,22000000,Games
2017,2500000,Games
2017,150000000,Games
2017,46400244,Games
2015,1618496,Games
2015,8209984,Games
2014,239712,Games
2013,836096,Games
2011,13125,Games
1992,25000,Games
1988,110,Games
1983,324,Games
1973,21,Games
1967,40,Games
1959,16,Games
