System,Domain,Publication Date,Training Compute (Flop/s)
GPT-2,Language,2019-Feb,1.49E+21
"Megatron-LM (Original, 8.3B)",Language,2019-Sep,9.10E+21
T5-3B,Language,2019-Oct,1.04E+22
T5-11B,Language,2019-Oct,4.05E+22
Meena,Language,2020-Jan,1.12E+23
Turing NLG,Language,2020-Feb,1.57E+22
GPT-3 175B (davinci),Language,2020-May,3.14E+23
DALL-E,Drawing,2021-Jan,4.70E+22
Wu Dao - Wen Yuan,Language,2021-Mar,6.50E+20
GPT-Neo,Language,2021-Mar,7.90E+21
PanGu-α,Language,2021-Apr,5.83E+22
GPT-J-6B,Language,2021-May,1.50E+22
HyperClova,Language,2021-May,6.30E+22
CogView,Drawing,2021-May,2.68E+22
ERNIE 3.0,Language,2021-Jul,2.35E+18
Jurassic-1-Jumbo,Language,2021-Aug,3.70E+23
Megatron-Turing NLG 530B,Language,2021-Oct,1.35E+24
Gopher,Language,2021-Dec,6.31E+23
AlphaCode,Language,2022-Feb,4.05E+22
GPT-NeoX-20B,Language,2022-Feb,9.32E+22
Chinchilla,Language,2022-Mar,5.76E+23
PaLM (540B),Language,2022-Apr,2.53E+24
Stable Diffusion (LDM-KL-8-G),Drawing,2022-Apr,5.00E+22
OPT-175B,Language,2022-May,7.56E+23
Minerva (540B),Language,2022-Jun,2.74E+24
GLM-130B,Language,2022-Aug,4.60E+22
BLOOM,Language,2022-Nov,1.80E+23
