System,Number of Parameters,Training Cost (in U.S. Dollars)
BLOOM,1.76E+11,2287779.84
GLM-130B,1.3E+11,163123.2
Minerva (540B),5.4035E+11,1033420.8
OPT-175B,1.75E+11,1685606.4
Stable Diffusion,1450000000,600000
PaLM (540B),5.4035E+11,8011169.444
Chinchilla,70000000000,2110555.556
GPT-NeoX-20B,20000000000,244684.8
AlphaCode,41400000000,87000
Gopher,2.8E+11,8550000
Megatron-Turing NLG 530B,5.3E+11,11350519.43
Codex,12000000000,135590.2778
ERNIE 3.0,10000000000,9166.7
HyperClova,2.04E+11,266747.904
GPT-J-6B,6053381344,430080
GPT-Neo,2700000000,89205.1
Wu Dao - Wen Yuan,2600000000,17364.04992
DALL-E,12000000000,228744
GPT-3 175B,1.75E+11,1800775.463
Turing NLG,17000000000,112798.0894
Meena,2600000000,1474560
T5-11B,11000000000,1966080
GPT-2,1500000000,50000
