Year,Number of Significant Machine Learning Systems,Sector
2002,0,Nonprofit
2003,0,Nonprofit
2004,0,Nonprofit
2005,0,Nonprofit
2006,0,Nonprofit
2007,0,Nonprofit
2008,0,Nonprofit
2009,0,Nonprofit
2010,0,Nonprofit
2011,0,Nonprofit
2012,0,Nonprofit
2013,0,Nonprofit
2014,0,Nonprofit
2015,0,Nonprofit
2016,0,Nonprofit
2017,0,Nonprofit
2018,0,Nonprofit
2019,0,Nonprofit
2020,0,Nonprofit
2021,5,Nonprofit
2022,0,Nonprofit
2002,2,Industry-Academia Collaboration
2003,1,Industry-Academia Collaboration
2004,0,Industry-Academia Collaboration
2005,0,Industry-Academia Collaboration
2006,1,Industry-Academia Collaboration
2007,0,Industry-Academia Collaboration
2008,3,Industry-Academia Collaboration
2009,1,Industry-Academia Collaboration
2010,1,Industry-Academia Collaboration
2011,3,Industry-Academia Collaboration
2012,1,Industry-Academia Collaboration
2013,2,Industry-Academia Collaboration
2014,6,Industry-Academia Collaboration
2015,9,Industry-Academia Collaboration
2016,9,Industry-Academia Collaboration
2017,11,Industry-Academia Collaboration
2018,4,Industry-Academia Collaboration
2019,10,Industry-Academia Collaboration
2020,5,Industry-Academia Collaboration
2021,10,Industry-Academia Collaboration
2022,1,Industry-Academia Collaboration
2002,0,Research Collective
2003,0,Research Collective
2004,0,Research Collective
2005,0,Research Collective
2006,0,Research Collective
2007,0,Research Collective
2008,0,Research Collective
2009,0,Research Collective
2010,0,Research Collective
2011,0,Research Collective
2012,0,Research Collective
2013,0,Research Collective
2014,0,Research Collective
2015,0,Research Collective
2016,0,Research Collective
2017,0,Research Collective
2018,0,Research Collective
2019,0,Research Collective
2020,0,Research Collective
2021,2,Research Collective
2022,2,Research Collective
2002,3,Academia
2003,5,Academia
2004,5,Academia
2005,6,Academia
2006,12,Academia
2007,7,Academia
2008,4,Academia
2009,8,Academia
2010,11,Academia
2011,7,Academia
2012,8,Academia
2013,13,Academia
2014,14,Academia
2015,3,Academia
2016,13,Academia
2017,10,Academia
2018,6,Academia
2019,5,Academia
2020,8,Academia
2021,3,Academia
2022,3,Academia
2002,2,Industry
2003,1,Industry
2004,0,Industry
2005,0,Industry
2006,0,Industry
2007,2,Industry
2008,2,Industry
2009,6,Industry
2010,2,Industry
2011,0,Industry
2012,1,Industry
2013,4,Industry
2014,3,Industry
2015,13,Industry
2016,16,Industry
2017,17,Industry
2018,14,Industry
2019,29,Industry
2020,23,Industry
2021,36,Industry
2022,32,Industry
