Year,Number of Machine Learning Systems,Geographic Area
2002,0,China
2003,0,China
2004,0,China
2005,0,China
2006,0,China
2007,0,China
2008,0,China
2009,0,China
2010,0,China
2011,0,China
2012,0,China
2013,0,China
2014,2,China
2015,3,China
2016,6,China
2017,4,China
2018,3,China
2019,1,China
2020,5,China
2021,17,China
2022,3,China
2002,1,European Union and United Kingdom
2003,1,European Union and United Kingdom
2004,1,European Union and United Kingdom
2005,4,European Union and United Kingdom
2006,5,European Union and United Kingdom
2007,7,European Union and United Kingdom
2008,3,European Union and United Kingdom
2009,2,European Union and United Kingdom
2010,4,European Union and United Kingdom
2011,2,European Union and United Kingdom
2012,1,European Union and United Kingdom
2013,9,European Union and United Kingdom
2014,9,European Union and United Kingdom
2015,7,European Union and United Kingdom
2016,7,European Union and United Kingdom
2017,9,European Union and United Kingdom
2018,6,European Union and United Kingdom
2019,11,European Union and United Kingdom
2020,5,European Union and United Kingdom
2021,8,European Union and United Kingdom
2022,12,European Union and United Kingdom
2002,5,United States
2003,5,United States
2004,2,United States
2005,3,United States
2006,5,United States
2007,4,United States
2008,5,United States
2009,12,United States
2010,5,United States
2011,8,United States
2012,4,United States
2013,9,United States
2014,11,United States
2015,17,United States
2016,23,United States
2017,22,United States
2018,14,United States
2019,32,United States
2020,26,United States
2021,27,United States
2022,16,United States
