Year,Number of Authors,Geographic Area
2002,0,China
2003,0,China
2004,0,China
2005,0,China
2006,0,China
2007,0,China
2008,0,China
2009,0,China
2010,0,China
2011,0,China
2012,0,China
2013,0,China
2014,8,China
2015,10,China
2016,18,China
2017,10,China
2018,14,China
2019,7,China
2020,42,China
2021,204,China
2022,49,China
2002,2,European Union and<br>United Kingdom
2003,0,European Union and<br>United Kingdom
2004,4,European Union and<br>United Kingdom
2005,4,European Union and<br>United Kingdom
2006,9,European Union and<br>United Kingdom
2007,13,European Union and<br>United Kingdom
2008,6,European Union and<br>United Kingdom
2009,3,European Union and<br>United Kingdom
2010,13,European Union and<br>United Kingdom
2011,5,European Union and<br>United Kingdom
2012,2,European Union and<br>United Kingdom
2013,23,European Union and<br>United Kingdom
2014,15,European Union and<br>United Kingdom
2015,58,European Union and<br>United Kingdom
2016,65,European Union and<br>United Kingdom
2017,73,European Union and<br>United Kingdom
2018,48,European Union and<br>United Kingdom
2019,114,European Union and<br>United Kingdom
2020,71,European Union and<br>United Kingdom
2021,131,European Union and<br>United Kingdom
2022,155,European Union and<br>United Kingdom
2002,12,United States
2003,14,United States
2004,11,United States
2005,9,United States
2006,40,United States
2007,11,United States
2008,50,United States
2009,36,United States
2010,32,United States
2011,25,United States
2012,12,United States
2013,37,United States
2014,49,United States
2015,93,United States
2016,143,United States
2017,122,United States
2018,87,United States
2019,243,United States
2020,220,United States
2021,384,United States
2022,285,United States
