Year,Number of Parameters (Log Scale),Sector
2022,1.45E+13,Academia
2022,1.3E+11,Academia
2022,3500000000,Academia
2021,1683456,Academia
2021,256000000,Academia
2020,907264,Academia
2020,51100000,Academia
2020,110000000,Academia
2020,2600000000,Academia
2020,1500000000,Academia
2019,36500000,Academia
2019,38000000,Academia
2018,86000000,Academia
2018,106085216,Academia
2017,2500000,Academia
2017,28100000,Academia
2016,92000000,Academia
2014,120000000,Academia
2014,120000000,Academia
2014,239712,Academia
2014,138000000,Academia
2014,144000000,Academia
2014,142552000,Academia
2013,43000000,Academia
2013,37230,Academia
2013,69003872,Academia
2013,29900000,Academia
2012,1994300,Academia
2012,5592010,Academia
2012,48840185,Academia
2012,3510255,Academia
2012,60000000,Academia
2011,13125,Academia
2011,15260,Academia
2010,12110000,Academia
2010,7082000,Academia
2010,16210006,Academia
2010,80000000,Academia
2010,5269500,Academia
2009,100000000,Academia
2009,80940,Academia
2009,133140,Academia
2008,2600000,Academia
2007,490000,Academia
2007,100881,Academia
2006,37097,Academia
2006,114662,Academia
2006,100,Academia
2006,3800000,Academia
2006,1600000,Academia
2005,178,Academia
2005,120000000,Academia
2005,152061,Academia
2004,100000,Academia
2003,11904264,Academia
2003,9178890,Academia
2003,451,Academia
2000,17,Academia
1999,276,Academia
1998,7512,Academia
1997,10504,Academia
1996,6452,Academia
1994,100000000,Academia
1992,1166,Academia
1991,429409,Academia
1989,10,Academia
1989,3994,Academia
1988,110,Academia
1987,18629,Academia
1986,211600,Academia
1986,144,Academia
1983,324,Academia
1982,9900,Academia
1981,4096,Academia
1973,21,Academia
1967,40,Academia
1960,17,Academia
1959,3000,Academia
1955,225,Academia
1952,40,Academia
2022,705134592,Industry
2022,705134592,Industry
2022,705134592,Industry
2022,1900000000,Industry
2022,7500000000,Industry
2022,1.37E+11,Industry
2022,3200000000,Industry
2022,70000000000,Industry
2022,5.4035E+11,Industry
2022,3500000000,Industry
2022,1450000000,Industry
2022,80000000000,Industry
2022,1.75E+11,Industry
2022,7000000000,Industry
2022,20000000000,Industry
2022,1180000000,Industry
2022,5600000000,Industry
2022,20000000000,Industry
2022,5.4035E+11,Industry
2022,54500000000,Industry
2022,1550000000,Industry
2022,1.2E+11,Industry
2022,1E+11,Industry
2022,19750000000,Industry
2021,12000000000,Industry
2021,370000000,Industry
2021,88600000,Industry
2021,8000000000,Industry
2021,1.6E+12,Industry
2021,480000000,Industry
2021,9400000000,Industry
2021,1E+12,Industry
2021,1.2E+13,Industry
2021,27000000000,Industry
2021,2.07E+11,Industry
2021,2.04E+11,Industry
2021,1800000000,Industry
2021,1500000000,Industry
2021,820000000,Industry
2021,10000000000,Industry
2021,12000000000,Industry
2021,3500000,Industry
2021,1000000000,Industry
2021,1.78E+11,Industry
2021,10700000000,Industry
2021,1.37E+11,Industry
2021,1.35E+11,Industry
2021,3E+12,Industry
2021,1E+13,Industry
2021,5.3E+11,Industry
2021,2.45E+11,Industry
2021,1600000000,Industry
2021,2.457E+11,Industry
2021,870000000,Industry
2021,2.8E+11,Industry
2021,3500000000,Industry
2021,7500000000,Industry
2021,2.6E+11,Industry
2021,10000000000,Industry
2020,69000000,Industry
2020,2600000000,Industry
2020,17000000000,Industry
2020,375000000,Industry
2020,7700000,Industry
2020,1.75E+11,Industry
2020,6801000000,Industry
2020,1362000000,Industry
2020,2300000000,Industry
2020,6E+11,Industry
2020,1E+12,Industry
2020,52000000,Industry
2020,340000000,Industry
2020,317000000,Industry
2020,86000000,Industry
2020,632000000,Industry
2020,795000000,Industry
2019,330000000,Industry
2019,1500000000,Industry
2019,26000000,Industry
2019,193000000,Industry
2019,480000000,Industry
2019,4900000,Industry
2019,5200000,Industry
2019,126001330,Industry
2019,1E+11,Industry
2019,665000000,Industry
2019,626000000,Industry
2019,829000000,Industry
2019,355000000,Industry
2019,86000000,Industry
2019,3900000000,Industry
2019,8300000000,Industry
2019,1600000,Industry
2019,66000000,Industry
2019,27769565,Industry
2019,11000000000,Industry
2019,3000000000,Industry
2019,406291456,Industry
2019,139000000,Industry
2019,375000000,Industry
2019,36864000,Industry
2019,159000000,Industry
2019,159000000,Industry
2019,928000000,Industry
2018,94000000,Industry
2018,469000000,Industry
2018,1600000,Industry
2018,87000000,Industry
2018,829000000,Industry
2018,117000000,Industry
2018,3400000,Industry
2018,122000000,Industry
2018,340000000,Industry
2018,22000000,Industry
2018,557000000,Industry
2018,6000000000,Industry
2017,4200000,Industry
2017,213000000,Industry
2017,2430000,Industry
2017,89000000,Industry
2017,34000000,Industry
