Year,AI Projects (% of Total),Geographic Area
2011,0.022417934,China
2012,0.044966176,China
2013,0.064605766,China
2014,0.057084434,China
2015,0.052186055,China
2016,0.062573512,China
2017,0.073259486,China
2018,0.060597367,China
2019,0.046764283,China
2020,0.024849185,China
2021,0.023702745,China
2022,0.023979643,China
2011,0.346677342,United States
2012,0.311977716,United States
2013,0.337443557,United States
2014,0.339183778,United States
2015,0.337027664,United States
2016,0.336297342,United States
2017,0.307719595,United States
2018,0.26906936,United States
2019,0.226469525,United States
2020,0.190562102,United States
2021,0.154783436,United States
2022,0.140043334,United States
2011,0.333867094,European Union and United Kingdom
2012,0.323517708,European Union and United Kingdom
2013,0.298020146,European Union and United Kingdom
2014,0.281332538,European Union and United Kingdom
2015,0.25975216,European Union and United Kingdom
2016,0.231333804,European Union and United Kingdom
2017,0.209136266,European Union and United Kingdom
2018,0.190890313,European Union and United Kingdom
2019,0.192342579,European Union and United Kingdom
2020,0.175419556,European Union and United Kingdom
2021,0.170389213,European Union and United Kingdom
2022,0.172961806,European Union and United Kingdom
2011,0.016813451,India
2012,0.030640669,India
2013,0.035255297,India
2014,0.053080003,India
2015,0.063094511,India
2016,0.084474241,India
2017,0.122270792,India
2018,0.180497041,India
2019,0.215455333,India
2020,0.279622634,India
2021,0.274944003,India
2022,0.241922806,India
2011,0.280224179,Rest of the World
2012,0.288897732,Rest of the World
2013,0.264675234,Rest of the World
2014,0.269319247,Rest of the World
2015,0.287939611,Rest of the World
2016,0.285321101,Rest of the World
2017,0.28761386,Rest of the World
2018,0.298945919,Rest of the World
2019,0.31896828,Rest of the World
2020,0.329546522,Rest of the World
2021,0.376180604,Rest of the World
2022,0.421092412,Rest of the World
