Year,Top-1 Accuracy,Label
2012,0.633,Without Extra Training Data
2013,0.663,Without Extra Training Data
2014,0.745,Without Extra Training Data
2015,0.788,Without Extra Training Data
2016,0.809,Without Extra Training Data
2017,0.829,Without Extra Training Data
2018,0.854,Without Extra Training Data
2019,0.869,Without Extra Training Data
2020,0.871,Without Extra Training Data
2021,0.883,Without Extra Training Data
2022,0.885,Without Extra Training Data
2012,,With Extra Training Data
2013,,With Extra Training Data
2014,,With Extra Training Data
2015,,With Extra Training Data
2016,,With Extra Training Data
2017,,With Extra Training Data
2018,,With Extra Training Data
2019,0.8754,With Extra Training Data
2020,0.902,With Extra Training Data
2021,0.9088,With Extra Training Data
2022,0.91,With Extra Training Data
