Year,False Non-Match Rate: FMNR (Log-Scale),Label
2017,0.3484,VISA Photos @ FMR = 1e-6
2018,0.0126,VISA Photos @ FMR = 1e-6
2019,0.0026,VISA Photos @ FMR = 1e-6
2020,0.0026,VISA Photos @ FMR = 1e-6
2021,0.0014,VISA Photos @ FMR = 1e-6
2022,0.0006,VISA Photos @ FMR = 1e-6
2017,0.6557,VISABORDER Photos @ FMR = 1e-6
2018,0.0142,VISABORDER Photos @ FMR = 1e-6
2019,0.0064,VISABORDER Photos @ FMR = 1e-6
2020,0.0039,VISABORDER Photos @ FMR = 1e-6
2021,0.0021,VISABORDER Photos @ FMR = 1e-6
2022,0.0016,VISABORDER Photos @ FMR = 1e-6
2017,0.751,MUGSHOT Photos ≥ 12 YRS @ FMR = 1e-5
2018,0.0145,MUGSHOT Photos ≥ 12 YRS @ FMR = 1e-5
2019,0.0045,MUGSHOT Photos ≥ 12 YRS @ FMR = 1e-5
2020,0.0028,MUGSHOT Photos ≥ 12 YRS @ FMR = 1e-5
2021,0.002,MUGSHOT Photos ≥ 12 YRS @ FMR = 1e-5
2022,0.0019,MUGSHOT Photos ≥ 12 YRS @ FMR = 1e-5
2017,0.062,MUGSHOT Photos @ FMR = 1e-5
2018,0.011,MUGSHOT Photos @ FMR = 1e-5
2019,0.003,MUGSHOT Photos @ FMR = 1e-5
2020,0.0027,MUGSHOT Photos @ FMR = 1e-5
2021,0.0021,MUGSHOT Photos @ FMR = 1e-5
2017,0.6361,BORDER Photos @ FMR = 1e-6
2018,0.032,BORDER Photos @ FMR = 1e-6
2019,0.0114,BORDER Photos @ FMR = 1e-6
2020,0.0067,BORDER Photos @ FMR = 1e-6
2021,0.004,BORDER Photos @ FMR = 1e-6
2022,0.0032,BORDER Photos @ FMR = 1e-6
2017,0.4655,WILD Photos @ FMR = 1e-5
2018,0.032,WILD Photos @ FMR = 1e-5
2019,0.0303,WILD Photos @ FMR = 1e-5
2020,0.0293,WILD Photos @ FMR = 1e-5
2021,0.0297,WILD Photos @ FMR = 1e-5
