Date,Number of Independent Machine Translation Services,Label
2017-May,1,Preview
2017-Jul,1,Preview
2017-Nov,3,Preview
2018-Mar,3,Preview
2018-Jul,1,Preview
2018-Dec,3,Preview
2019-Jun,2,Preview
2019-Nov,3,Preview
2020-Jul,6,Preview
2021-Sep,5,Preview
2022-Jul,5,Preview
2017-May,0,Open Source Pre-trained
2017-Jul,0,Open Source Pre-trained
2017-Nov,0,Open Source Pre-trained
2018-Mar,0,Open Source Pre-trained
2018-Jul,0,Open Source Pre-trained
2018-Dec,0,Open Source Pre-trained
2019-Jun,0,Open Source Pre-trained
2019-Nov,0,Open Source Pre-trained
2020-Jul,0,Open Source Pre-trained
2021-Sep,3,Open Source Pre-trained
2022-Jul,4,Open Source Pre-trained
2017-May,8,Commercial
2017-Jul,9,Commercial
2017-Nov,9,Commercial
2018-Mar,10,Commercial
2018-Jul,15,Commercial
2018-Dec,18,Commercial
2019-Jun,21,Commercial
2019-Nov,23,Commercial
2020-Jul,28,Commercial
2021-Sep,38,Commercial
2022-Jul,45,Commercial
