Benchmark,Category,Overall Improvement,YoY Improvement
ImageNet Top-1,Vision Image,0.437598736,0.001320423
FVRT,Vision Image,0.986637887,0.057971014
Celeb-DF,Vision Image,0.207430341,0.014568158
MPII,Vision Image,0.15,0.043141593
Cityscapes,Vision Image,0.370206022,0.003016241
Kvasir-SEG,Vision Image,0.150488998,0.015977545
COCO,Vision Video,0.47037702,0.030188679
STL-10,Vision Image,0.809063277,0.103761349
CIFAR-10,Vision Image,0.928629032,0.157142857
VQA,Vision Image,0.302936631,0.018361923
VCR,Vision Video,0.718181818,0.05
Kinetics-400,Vision Video,0.232746955,0.044724771
Kinetics-600,Vision Video,0.167938931,0.039637599
Kinetics-700,Vision Video,0.487778959,0.044776119
SuperGLUE,Language,0.079196217,0.001096491
ReClor,Language,0.287539936,0.017676768
arXiv,Language,0.589207735,0.052251136
PubMed,Language,0.423591746,0.016324905
ANLI,Language,0.11249703,0.019375204
SST-5,Language,0.308533917,0.011844332
MMLU,Language,1.320987654,0.253333333
VoxCeleb,Speech Recognition,0.982051282,0.666666667
Procgen,Reinforcement Learning,0.7875,0.121568627
