Date,Number of Accelerators,Label
2018-Dec-12,94.24,Mean Number of Accelerators
2018-Dec-12,256.00,Average Accelerators Used by Top System
2018-Dec-12,640.00,Maximum Number of Accelerators Used
2019-Jun-10,1024.00,Maximum Number of Accelerators Used
2019-Jun-10,285.87,Mean Number of Accelerators
2019-Jun-10,566.00,Average Accelerators Used by Top System
2020-Jul-29,484.45,Mean Number of Accelerators
2020-Jul-29,2442.00,Average Accelerators Used by Top System
2020-Jul-29,4096.00,Maximum Number of Accelerators Used
2021-Jun-30,1686.00,Average Accelerators Used by Top System
2021-Jun-30,3456.00,Maximum Number of Accelerators Used
2021-Jun-30,285.63,Mean Number of Accelerators
2021-Dec-01,1785.00,Average Accelerators Used by Top System
2021-Dec-01,337.28,Mean Number of Accelerators
2021-Dec-01,4320.00,Maximum Number of Accelerators Used
2022-Jun-29,2064.00,Average Accelerators Used by Top System
2022-Jun-29,244.56,Mean Number of Accelerators
2022-Jun-29,4096.00,Maximum Number of Accelerators Used
2022-Nov-09,1859.00,Average Accelerators Used by Top System
2022-Nov-09,4216.00,Maximum Number of Accelerators Used
2022-Nov-09,211.28,Mean Number of Accelerators
