Date,FLOP/s (Log Scale)
3/6/03,2600000000
3/6/03,4000000000
3/6/03,3200000000
3/6/03,1000000000
3/6/03,1000000000
3/17/03,2800000000
10/23/03,3600000000
10/23/03,3800000000
10/23/03,3800000000
12/15/04,2800000000
11/22/05,2.4E+11
4/2/06,18000000000
4/30/06,48000000000
6/5/06,48000000000
11/8/06,3.456E+11
11/8/06,2.281E+11
1/1/07,42000000000
2/12/07,2.281E+11
3/5/07,3.686E+11
3/5/07,2.304E+11
3/5/07,3.456E+11
3/5/07,2.304E+11
4/17/07,76160000000
4/17/07,92800000000
4/17/07,39360000000
4/17/07,29380000000
4/17/07,38080000000
4/17/07,38400000000
4/17/07,14690000000
4/17/07,48000000000
4/17/07,38400000000
4/17/07,44800000000
4/17/07,92800000000
4/17/07,38400000000
4/17/07,38400000000
4/17/07,35200000000
4/17/07,35200000000
4/17/07,29380000000
4/17/07,35200000000
5/1/07,28800000000
5/1/07,60800000000
5/2/07,3.456E+11
5/2/07,3.456E+11
5/2/07,3.456E+11
5/2/07,3.871E+11
5/9/07,25600000000
5/9/07,12800000000
5/9/07,25600000000
5/9/07,28800000000
5/9/07,25600000000
5/9/07,12800000000
5/9/07,25600000000
5/9/07,12800000000
5/14/07,36000000000
5/14/07,4.755E+11
5/14/07,4.403E+11
5/14/07,4.403E+11
5/14/07,1.2E+11
5/14/07,48000000000
5/14/07,1.2E+11
5/14/07,1.632E+11
6/1/07,60800000000
6/1/07,80000000000
6/1/07,80000000000
6/9/07,73600000000
6/28/07,52000000000
6/28/07,1.92E+11
6/28/07,1.44E+11
6/28/07,42000000000
6/28/07,42000000000
6/28/07,1.92E+11
6/28/07,42000000000
6/28/07,52000000000
6/28/07,1.44E+11
6/28/07,1.426E+11
6/28/07,1.733E+11
6/28/07,1.92E+11
6/28/07,48000000000
7/26/07,1.92E+11
7/26/07,1.44E+11
9/12/07,23040000000
9/12/07,44800000000
9/12/07,58880000000
9/12/07,29440000000
9/21/07,92800000000
10/4/07,29380000000
10/5/07,60160000000
10/27/07,2.4E+11
10/29/07,3.36E+11
11/1/07,1.6E+11
11/1/07,2.4E+11
11/6/07,2.885E+11
11/6/07,3.84E+11
11/8/07,5.12E+11
11/19/07,2.688E+11
11/19/07,4.275E+11
11/19/07,4.973E+11
11/19/07,4.973E+11
12/4/07,22400000000
12/4/07,22400000000
12/4/07,20800000000
12/10/07,48000000000
12/10/07,48000000000
12/11/07,4.16E+11
