Date,FLOP/s per U.S. Dollar
2003-03-06,6301598.615538848
2003-03-06,8212661.311256282
2003-03-06,3158715.888944724
2003-03-06,3158715.888944724
2003-03-06,6727325.344749164
2003-03-17,8844404.489045227
2003-10-23,12003120.377989952
2003-10-23,4534877.881442886
2003-10-23,4786815.541523047
2004-12-15,14008967.72496124
2006-04-02,47872873.00772201
2006-04-30,55198994.3639399
2006-06-05,55198994.3639399
2006-11-08,397432759.4203673
2006-11-08,349941698.1270601
2007-02-12,600765986.9259479
2007-04-17,161359452.8169302
2007-04-17,339361165.23954713
2007-04-17,330390256.5177889
2007-05-02,330827019.3537756
2007-10-29,682097066.4893982
2007-12-11,844501129.939255
2008-02-21,854876840.8402234
2008-03-18,471625903.2040067
2008-03-28,1063178843.6445819
2008-06-16,781401479.8484854
2008-06-16,705194233.7391833
2008-07-21,1544943290.7299998
2008-07-21,1544943290.7299998
2008-12-23,1451906514.766156
2009-01-08,875866275.7196794
2009-01-15,1984003746.0848997
2009-01-16,1504557376.0786026
2009-03-04,1425989978.660603
2009-09-23,5261094135.810026
2009-09-30,5909858855.555213
2009-10-13,6270297727.899371
2009-10-13,5728187171.944186
2009-11-17,2357741445.37475
2009-11-18,2839275539.953255
2010-01-14,4666246911.494949
2010-02-04,1549796070.992
2010-02-09,3746759732.0685716
2010-02-09,4656839155.625
2010-02-09,4843112721.85
2010-02-25,5586648212.1372385
2010-03-11,4231015449.954071
2010-03-26,2008260486.0118318
2010-03-26,2324181720.7470946
2010-05-31,2284314804.3901935
2010-07-12,3396731241.795377
2010-07-12,2951744616.2326636
2010-09-13,3473063422.3594575
2010-10-11,2535206815.2546835
2010-10-21,6284979238.654393
2010-10-21,6193856235.593296
2010-11-09,2360709484.582966
2010-11-15,3487041159.732
2010-12-07,2999591524.883954
2010-12-14,5457966932.31626
2010-12-15,5614372504.413712
2010-12-15,6481457061.079922
2011-02-01,2390702305.62816
2011-03-08,2803962892.0171676
2011-03-15,3565551537.1038923
2011-03-24,1367894053.9879827
2011-04-04,6933016877.702013
2011-04-07,3475479733.982609
2011-04-07,2794966219.6363635
2011-04-13,2025758355.3762712
2011-04-19,6071091180.881013
2011-04-19,5962594601.890908
2011-05-14,2139227752.3683221
2011-05-17,4206143259.4251256
2011-11-29,3488557880.040415
2011-12-01,8198567577.6
2012-03-22,5109605461.9739485
