Year,Age Group,Label
0.932,18Ð30,Instagram 10B (SEER)
0.95,30Ð45,Instagram 10B (SEER)
0.956,45Ð70,Instagram 10B (SEER)
0.967,70+,Instagram 10B (SEER)
0.896,18Ð30 ,Instagram 1.5B (SEER)
0.905,30Ð45,Instagram 1.5B (SEER)
0.926,45Ð70,Instagram 1.5B (SEER)
0.887,70+,Instagram 1.5B (SEER)
0.766,18Ð30 ,ImageNet 693M (SwaV)
0.746,30Ð45,ImageNet 693M (SwaV)
0.767,45Ð70,ImageNet 693M (SwaV)
0.694,70+,ImageNet 693M (SwaV)
0.785,18Ð30 ,ImageNet 693M (Supervised)
0.767,30Ð45,ImageNet 693M (Supervised)
0.801,45Ð70,ImageNet 693M (Supervised)
0.758,70+,ImageNet 693M (Supervised)
