Year,Gender/Skin Tone Group,Label
0.929,Skin Tone Darker,Instagram 10B (SEER)
0.962,Skin Tone Lighter,Instagram 10B (SEER)
0.903,Female Darker,Instagram 10B (SEER)
0.968,Female Lighter,Instagram 10B (SEER)
0.961,Male Darker,Instagram 10B (SEER)
0.954,Male Lighter,Instagram 10B (SEER)
0.866,Skin Tone Darker,Instagram 1.5B (SEER)
0.942,Skin Tone Lighter,Instagram 1.5B (SEER)
0.782,Female Darker,Instagram 1.5B (SEER)
0.937,Female Lighter,Instagram 1.5B (SEER)
0.975,Male Darker,Instagram 1.5B (SEER)
0.949,Male Lighter,Instagram 1.5B (SEER)
0.697,Skin Tone Darker,ImageNet 693M (SwaV)
0.808,Skin Tone Lighter,ImageNet 693M (SwaV)
0.503,Female Darker,ImageNet 693M (SwaV)
0.716,Female Lighter,ImageNet 693M (SwaV)
0.937,Male Darker,ImageNet 693M (SwaV)
0.925,Male Lighter,ImageNet 693M (SwaV)
0.736,Skin Tone Darker,ImageNet 693M (Supervised)
0.821,Skin Tone Lighter,ImageNet 693M (Supervised)
0.582,Female Darker,ImageNet 693M (Supervised)
0.751,Female Lighter,ImageNet 693M (Supervised)
0.927,Male Darker,ImageNet 693M (Supervised)
0.911,Male Lighter,ImageNet 693M (Supervised)
