Model,Score Type,Score,Category
ALBEF,vlrs,89.32,gender
VILT,vlrs,88.73,gender
FLAVA,vlrs,76.7,gender
VisualBERT,vlrs,86.89,gender
CLIP,vlrs,84.95,gender
LXMERT,vlrs,69.42,gender
ALBEF,vlrs,84.78,profession
VILT,vlrs,84.06,profession
FLAVA,vlrs,64.6,profession
VisualBERT,vlrs,87.58,profession
CLIP,vlrs,89.13,profession
LXMERT,vlrs,75.47,profession
ALBEF,vlrs,83.95,race
VILT,vlrs,88.54,race
FLAVA,vlrs,51.44,race
VisualBERT,vlrs,82.92,race
CLIP,vlrs,88.48,race
LXMERT,vlrs,75.51,race
ALBEF,vlrs,78.57,religion
VILT,vlrs,71.43,religion
FLAVA,vlrs,57.14,religion
VisualBERT,vlrs,92.86,religion
CLIP,vlrs,92.86,religion
LXMERT,vlrs,71.43,religion
ALBEF,vlbs,37.86,gender
VILT,vlbs,49.02,gender
FLAVA,vlbs,34.95,gender
VisualBERT,vlbs,54.37,gender
CLIP,vlbs,48.54,gender
LXMERT,vlbs,38.83,gender
ALBEF,vlbs,34.78,profession
VILT,vlbs,36.25,profession
FLAVA,vlbs,34.16,profession
VisualBERT,vlbs,34.78,profession
CLIP,vlbs,48.45,profession
LXMERT,vlbs,39.75,profession
ALBEF,vlbs,28.4,race
VILT,vlbs,42.92,race
FLAVA,vlbs,22.63,race
VisualBERT,vlbs,35.8,race
CLIP,vlbs,42.8,race
LXMERT,vlbs,34.98,race
ALBEF,vlbs,28.57,religion
VILT,vlbs,14.29,religion
FLAVA,vlbs,28.57,religion
VisualBERT,vlbs,14.29,religion
CLIP,vlbs,42.86,religion
LXMERT,vlbs,42.86,religion
