Year,Number of Papers (% World Total),Label
2018,,Sub-Saharan Africa
2019,,Sub-Saharan Africa
2020,,Sub-Saharan Africa
2021,0.010380622837370242,Sub-Saharan Africa
2022,0.0,Sub-Saharan Africa
2018,0.06153846153846154,South Asia
2019,0.024691358024691357,South Asia
2020,0.02066115702479339,South Asia
2021,0.01730103806228374,South Asia
2022,0.0054869684499314125,South Asia
2018,0.03076923076923077,Latin America and the Caribbean
2019,0.018518518518518517,Latin America and the Caribbean
2020,0.01652892561983471,Latin America and the Caribbean
2021,0.01384083044982699,Latin America and the Caribbean
2022,0.006858710562414266,Latin America and the Caribbean
2018,,Middle East and North Africa
2019,0.024691358024691357,Middle East and North Africa
2020,0.008264462809917356,Middle East and North Africa
2021,0.01730103806228374,Middle East and North Africa
2022,0.006858710562414266,Middle East and North Africa
2018,0.13846153846153847,East Asia and Pacific
2019,0.006172839506172839,East Asia and Pacific
2020,0.008264462809917356,East Asia and Pacific
2021,0.03806228373702422,East Asia and Pacific
2022,0.04252400548696845,East Asia and Pacific
2018,0.09230769230769231,Europe and Central Asia
2019,0.24691358024691357,Europe and Central Asia
2020,0.24380165289256198,Europe and Central Asia
2021,0.18685121107266436,Europe and Central Asia
2022,0.3058984910836763,Europe and Central Asia
2018,0.676923076923077,North America
2019,0.6790123456790124,North America
2020,0.7024793388429752,North America
2021,0.7162629757785467,North America
2022,0.6323731138545954,North America
