Year,Number of Papers,Label
2015,0,Other
2016,9,Other
2017,77,Other
2018,35,Other
2019,94,Other
2020,81,Other
2021,64,Other
2022,36,Other
2015,12,Science
2016,144,Science
2017,79,Science
2018,68,Science
2019,238,Science
2020,412,Science
2021,273,Science
2022,254,Science
2015,71,Healthcare
2016,0,Healthcare
2017,127,Healthcare
2018,199,Healthcare
2019,78,Healthcare
2020,171,Healthcare
2021,41,Healthcare
2022,13,Healthcare
2015,0,Finance
2016,0,Finance
2017,0,Finance
2018,32,Finance
2019,41,Finance
2020,11,Finance
2021,0,Finance
2022,10,Finance
2015,0,Developing World
2016,0,Developing World
2017,0,Developing World
2018,0,Developing World
2019,13,Developing World
2020,33,Developing World
2021,20,Developing World
2022,0,Developing World
2015,0,Climate
2016,0,Climate
2017,0,Climate
2018,0,Climate
2019,65,Climate
2020,94,Climate
2021,61,Climate
2022,116,Climate
