Date,Australia,Belgium,Brazil,Canada,Chile,Denmark,Finland,France,Germany,Hong Kong,India,Ireland,Israel,Italy,Luxembourg,Netherlands,New Zealand,Norway,Portugal,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,United Arab Emirates,United Kingdom,United States
12/1/16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/1/17,1.021863549,1.022314243,1.040914571,1.013377645,0.988266656,0.990450779,0.980576161,1.008192542,1.000338199,1.183677234,0.99719421,1.007951655,0.997370624,1.008581568,1.116119252,1.011651447,0.999959939,1.033866524,0.982142948,1.03201467,1.034570435,1.154191404,0.999019957,1.069523213,0.991925668,0.983771254,1.022464791,1.014176775
2/1/17,1.034218995,1.058265219,1.079876388,1.06788427,1.762425747,0.970567031,0.958128784,1.007381591,1.024824595,1.342241409,0.99373502,1.135539834,1.008733746,1.010902921,,1.031163552,1.026096811,1.03851046,0.961524316,1.037758794,1.043187344,1.154986279,1.013539699,1.090495391,0.998131878,1.071821548,1.035076423,1.025903993
3/1/17,1.047681648,1.037482085,1.095054054,1.07739948,1.809503025,0.978662578,0.956809651,1.009939828,1.041108229,1.34676339,0.98343765,1.198017746,1.031663031,1.032381335,1.704499284,1.023700374,1.055837569,1.074222219,1.010414237,1.110246655,1.089585461,1.154470262,1.03292534,1.092804128,1.014928091,1.039760703,1.068299752,1.047367172
4/1/17,1.076828117,1.028662621,1.11490944,1.132150773,1.841041009,0.984774024,0.962629099,1.019170982,1.061133165,1.383407387,0.989866055,1.175984911,1.049406523,1.052718183,1.652103095,1.038147347,1.301145336,1.061831303,1.050548189,1.124753585,1.15537376,1.171223955,1.045477731,1.124795474,1.009383841,1.084070764,1.080994574,1.066020376
5/1/17,1.095218599,0.99817146,1.135051895,1.151167162,1.861519202,0.962247574,1.022725567,1.021077002,1.074242796,1.433816976,0.993955237,1.243279001,1.083850121,1.044544792,1.600926301,1.043335224,1.261477072,1.066551997,1.073535891,1.164388381,1.258515289,1.160826053,1.087333968,1.113274336,1.073089721,1.099754516,1.10070765,1.083714595
6/1/17,1.098784497,1.012909836,1.109541075,1.165120666,1.836454353,0.940028598,1.009548187,1.021950312,1.087830926,1.530704294,0.9978507,1.277812075,1.06476029,1.054187183,1.555384424,1.033711373,1.279904645,1.11363916,1.049487164,1.189034877,1.258060057,1.286157593,1.099094403,1.117620541,1.11944755,1.103215257,1.122684599,1.094205437
7/1/17,1.125480152,0.985695558,1.108401162,1.202868366,1.860161617,0.924933025,1.002096674,1.047294491,1.099892778,1.713672784,1.000585166,1.285211793,1.085711603,1.053589894,1.621891846,1.030437486,1.385922064,1.105653596,1.036132741,1.205067812,1.246053964,1.265425405,1.100711071,1.122211271,1.143809242,1.090708991,1.135451782,1.11280022
8/1/17,1.159564469,0.974656546,1.1184191,1.243578846,1.849955247,0.917744395,0.988398171,1.064912515,1.116730605,1.703033705,1.006974938,1.30618841,1.109666269,1.054916271,1.567419014,1.050760342,1.520673383,1.111588327,1.059833145,1.198018358,1.424216354,1.329301097,1.126426529,1.159250758,1.161469764,1.091297662,1.149959049,1.124720383
9/1/17,1.18884435,0.995814419,1.131803821,1.267241012,1.902604703,0.922105466,0.970843624,1.062672097,1.123741803,1.709533283,1.016005541,1.311330303,1.106098808,1.064359949,1.751666844,1.053322402,1.592999689,1.160222633,1.052701085,1.197692922,1.53738487,1.334436134,1.147728947,1.154146526,1.146019381,1.099236012,1.156413172,1.142006412
10/1/17,1.193958479,0.991238651,1.165833637,1.271404026,1.871256653,0.906978509,0.945791514,1.052672627,1.138677923,1.729523079,1.023833082,1.341392253,1.10039925,1.064641452,1.72609735,1.069470376,1.643044603,1.196717123,1.089611988,1.2289814,1.550225249,1.334225068,1.159575994,1.144670587,1.164675177,1.100532687,1.169269461,1.156187972
11/1/17,1.205585651,1.017246685,1.167181115,1.272546094,1.885669068,0.921581928,0.927196969,1.053074674,1.151898428,1.738165843,1.025136385,1.357596207,1.105906216,1.072671054,1.752337577,1.070206551,1.615478765,1.18401235,1.07579563,1.247744524,1.593191217,1.341200591,1.170348704,1.181463047,1.178121773,1.08295137,1.183088652,1.172253887
12/1/17,1.204501627,1.024871832,1.182973757,1.281295423,1.926547816,0.905415516,0.942209011,1.059746988,1.170825106,1.740510067,1.02750887,1.394847096,1.128396432,1.06801553,1.718039193,1.068166482,1.622068804,1.236565305,1.18131754,1.259235162,1.664554252,1.391050319,1.194569701,1.167024905,1.194386461,1.115846275,1.20567102,1.193573309
1/1/18,1.183693336,0.998095951,1.151597636,1.29757725,2.010626578,0.920212304,0.981559362,1.063415542,1.196101931,1.561870217,1.036242297,1.425566359,1.140835645,1.060352522,1.7739529,1.070235908,1.626420384,1.23737862,1.272471652,1.260581403,1.659689614,1.259758192,1.215902513,1.095917485,1.230318012,1.206516451,1.199668515,1.193820947
2/1/18,1.191857853,0.981805182,1.12806375,1.240151514,1.201469709,0.930082149,1.050678211,1.074812297,1.178841141,1.421159446,1.049537978,1.316221569,1.1404584,1.087944966,1.61954421,1.058758009,1.633856498,1.285908285,1.339035112,1.284409468,1.659942588,1.229160223,1.204364876,1.075797209,1.22505144,1.144824157,1.192210852,1.195558485
3/1/18,1.218202176,1.003253048,1.120945236,1.254191618,1.137218478,0.941566218,1.060500128,1.08907821,1.183912863,1.423374389,1.07581899,1.230961134,1.111509543,1.072326998,1.039005785,1.094879301,1.658425996,1.237856699,1.292088208,1.221739174,1.630967305,1.236862078,1.194002133,1.082577059,1.215211782,1.236199125,1.188353682,1.194057245
4/1/18,1.216282502,1.032815571,1.128902986,1.225406193,1.104215907,0.946746993,1.079385615,1.083439361,1.177586609,1.461739054,1.079841342,1.310291881,1.075142511,1.061668065,1.126168516,1.098190808,1.430939437,1.335330915,1.300720634,1.205044201,1.545879554,1.202387445,1.175574683,1.048298167,1.238673784,1.236272444,1.197332072,1.197151214
5/1/18,1.230630907,1.101266315,1.123430122,1.223099088,1.093178017,1.012286726,1.010652661,1.105067988,1.187989476,1.417840377,1.095031348,1.286979691,1.056728157,1.110599176,1.179281564,1.105716445,1.607898501,1.375663466,1.260091223,1.194592183,1.451013016,1.234219802,1.135909201,1.072770948,1.176567216,1.293832769,1.204420438,1.199876262
6/1/18,1.274915379,1.073902092,1.227157051,1.226017352,1.20826508,1.082893107,1.020813084,1.121079128,1.184348056,1.351469957,1.114613508,1.255873795,1.084142105,1.102020247,1.316374888,1.118980388,1.656675823,1.32987626,1.325953026,1.18592076,1.461968658,1.098116828,1.129665082,1.109597228,1.146849199,1.335919907,1.192558042,1.209889257
7/1/18,1.271418815,1.121759471,1.307223413,1.201935508,1.252730578,1.136804691,1.038156095,1.09115006,1.189509636,1.197655963,1.125152266,1.243087327,1.052480319,1.135189786,1.269522832,1.148906033,1.567443891,1.385789643,1.358548099,1.17557344,1.518616751,1.130161732,1.160283955,1.08208091,1.107347828,1.387700134,1.208429113,1.210897157
8/1/18,1.249018675,1.156793549,1.316203476,1.17453947,1.318461181,1.154168027,1.054813528,1.0666301,1.187565374,1.285266518,1.129959003,1.259391161,1.037896204,1.194378519,1.435938313,1.134974524,1.490519534,1.412250034,1.361692264,1.192291038,1.34917742,1.052999625,1.137294279,1.034951223,1.095742773,1.416262881,1.221702941,1.222571379
9/1/18,1.244896389,1.131763554,1.32538427,1.176507569,1.279907168,1.162061594,1.108247428,1.078215074,1.196978459,1.301440146,1.137165528,1.256738711,1.05675345,1.203458638,1.226355696,1.152566193,1.438978057,1.389206903,1.391047979,1.222641652,1.238655661,1.046862739,1.127629639,1.041697564,1.148469663,1.422042695,1.239150263,1.224059042
10/1/18,1.266812603,1.150037079,1.31955252,1.220330327,1.350666148,1.20234078,1.142478655,1.113188828,1.203502282,1.257281365,1.147515456,1.246162046,1.069995139,1.221879173,1.265450479,1.142770046,1.378788476,1.364283058,1.335890971,1.19020621,1.30098768,1.044808262,1.126268088,1.05820994,1.14765467,1.462986376,1.250483856,1.234322406
11/1/18,1.281043981,1.147623671,1.357096212,1.249076905,1.414336618,1.215541227,1.186939699,1.124317386,1.203974337,1.27612051,1.171009628,1.266739488,1.058336688,1.252519579,1.213669815,1.165789282,1.487208411,1.426605229,1.391291598,1.169897426,1.277292047,1.031892252,1.144753386,1.041108766,1.161295709,1.556540434,1.25864344,1.242770185
12/1/18,1.334600967,1.180182521,1.381932264,1.258175568,1.4099937,1.266325723,1.160814166,1.140143062,1.201732878,1.291944403,1.192150123,1.233400398,1.01607829,1.292064079,1.260726133,1.19316722,1.506366233,1.388887769,1.285030321,1.204839236,1.234384331,0.960700616,1.129984145,1.05858326,1.146152375,1.562723257,1.241558607,1.242781646
