Relative AI Skill Penetration Rate,Country,Label
0.28854,Australia,Female
0.28974,Finland,Female
0.3027,Spain,Female
0.30446,Brazil,Female
0.31213,Italy,Female
0.31216,United Arab Emirates,Female
0.37564,Netherlands,Female
0.39215,France,Female
0.56586,United Kingdom,Female
0.67717,Singapore,Female
0.71278,Germany,Female
0.86112,Canada,Female
0.87058,Israel,Female
1.28044,United States,Female
1.98753,India,Female
0.88002,Australia,Male
1.08353,Finland,Male
1.03182,Spain,Male
0.98481,Brazil,Male
0.84589,Italy,Male
0.82287,United Arab Emirates,Male
0.97946,Netherlands,Male
1.13454,France,Male
1.45984,United Kingdom,Male
1.3702,Singapore,Male
1.90736,Germany,Male
1.5934,Canada,Male
2.05341,Israel,Male
2.35766,United States,Male
3.26695,India,Male
