Number of AI Job Postings,Specialized Skill,Label
22384,Software Engineering,2010Ð12
26557,Java (Programming Language),2010Ð12
13207,Automation,2010Ð12
7549,Agile Methodology,2010Ð12
962,Amazon Web Services,2010Ð12
1227,Data Science,2010Ð12
16571,Data Analysis,2010Ð12
22037,SQL (Programming Language),2010Ð12
48001,Computer Science,2010Ð12
12884,Python (Programming Language),2010Ð12
133286,Software Engineering,2022
133856,Java (Programming Language),2022
138791,Automation,2022
152956,Agile Methodology,2022
155615,Amazon Web Services,2022
157855,Data Science,2022
159801,Data Analysis,2022
185807,SQL (Programming Language),2022
260333,Computer Science,2022
296662,Python (Programming Language),2022
