Skill Share in AI Job Postings,Specialized Skill,Label
0.093194,Software Engineering,2010Ð12
0.110568,Java (Programming Language),2010Ð12
0.054986,Automation,2010Ð12
0.03143,Agile Methodology,2010Ð12
0.004005,Amazon Web Services,2010Ð12
0.005109,Data Science,2010Ð12
0.068992,Data Analysis,2010Ð12
0.091749,SQL (Programming Language),2010Ð12
0.199848,Computer Science,2010Ð12
0.053642,Python (Programming Language),2010Ð12
0.166803,Software Engineering,2022
0.167516,Java (Programming Language),2022
0.173692,Automation,2022
0.191419,Agile Methodology,2022
0.194747,Amazon Web Services,2022
0.19755,Data Science,2022
0.199985,Data Analysis,2022
0.232531,SQL (Programming Language),2022
0.325798,Computer Science,2022
0.371262,Python (Programming Language),2022
