AI Job Postings (% of All Job Postings),Sector,Label
0.005558,Waste Management and Administrative Support Services,2021
0.005932,Transportation and Warehousing,2021
0.006466,Real Estate and Rental and Leasing,2021
0.008197,Wholesale Trade,2021
0.010032,"Mining, Quarrying, and Oil and Gas Extraction",2021
0.010974,Utilities,2021
0.008199,Retail Trade,2021
0.009781,Public Administration,2021
0.010816,Management of Companies and Enterprises,2021
0.014055,Educational Services,2021
0.016635,"Agriculture, Forestry, Fishing, and Hunting",2021
0.028581,Manufacturing,2021
0.029427,Finance and Insurance,2021
0.038638,"Professional, Scientific, and Technical Services",2021
0.048472,Information,2021
0.005775,Waste Management and Administrative Support Services,2022
0.006679,Transportation and Warehousing,2022
0.008871,Real Estate and Rental and Leasing,2022
0.009832,Wholesale Trade,2022
0.011945,"Mining, Quarrying, and Oil and Gas Extraction",2022
0.012682,Utilities,2022
0.012767,Retail Trade,2022
0.013226,Public Administration,2022
0.013697,Management of Companies and Enterprises,2022
0.015283,Educational Services,2022
0.01641,"Agriculture, Forestry, Fishing, and Hunting",2022
0.032632,Manufacturing,2022
0.033273,Finance and Insurance,2022
0.040709,"Professional, Scientific, and Technical Services",2022
0.053012,Information,2022
