State ,Number AI Job Postings 2022
Alabama,7866
Alaska,970
Arizona,19514
Arkansas,7247
California,142154
Colorado,20421
Connecticut,8960
Delaware,3503
Florida,33585
Georgia,26620
Hawaii,2550
Idaho,6109
Illinois,31569
Indiana,9247
Iowa,5670
Kansas,7683
Kentucky,4536
Louisiana,4806
Maine,2227
Maryland,16769
Massachusetts,34603
Michigan,25366
Minnesota,11808
Mississippi,2548
Missouri,10990
Montana,833
Nebraska,4032
Nevada,6813
New Hampshire,2719
New Jersey,23447
New Mexico,3357
New York,43899
North Carolina,23854
North Dakota,1227
Ohio,19208
Oklahoma,5719
Oregon,10811
Pennsylvania,20397
Rhode Island,2965
South Carolina,4928
South Dakota,2195
Tennessee,11173
Texas,66624
Utah,6885
Vermont,1571
Virginia,34221
Washington,31284
"Washington, D.C. (District of Columbia)",9606
West Virginia,887
Wisconsin,8879
Wyoming,769
