State ,Share of U.S. States' Job Postings in AI 2022
Alabama,0.013145
Alaska,0.008836
Arizona,0.013956
Arkansas,0.020264
California,0.022063
Colorado,0.014587
Connecticut,0.016564
Delaware,0.026639
Florida,0.010011
Georgia,0.016382
Hawaii,0.01456
Idaho,0.018879
Illinois,0.016312
Indiana,0.008797
Iowa,0.011399
Kansas,0.014332
Kentucky,0.008487
Louisiana,0.008664
Maine,0.016362
Maryland,0.019642
Massachusetts,0.022632
Michigan,0.017735
Minnesota,0.012172
Mississippi,0.01151
Missouri,0.011472
Montana,0.007165
Nebraska,0.011405
Nevada,0.012308
New Hampshire,0.012028
New Jersey,0.020427
New Mexico,0.013634
New York,0.020671
North Carolina,0.014386
North Dakota,0.010417
Ohio,0.010686
Oklahoma,0.010724
Oregon,0.014349
Pennsylvania,0.012973
Rhode Island,0.018396
South Carolina,0.008729
South Dakota,0.018331
Tennessee,0.011146
Texas,0.015175
Utah,0.015379
Vermont,0.013423
Virginia,0.024152
Washington,0.024849
"Washington, D.C. (District of Columbia)",0.029495
West Virginia,0.009859
Wisconsin,0.009019
Wyoming,0.011823
