Year,Total Investment (in Billions of U.S. Dollars),Label
2013,0.526804897,European Union and United Kingdom
2014,1.196464406,European Union and United Kingdom
2015,0.7905069,European Union and United Kingdom
2016,1.161440375,European Union and United Kingdom
2017,2.431323144,European Union and United Kingdom
2018,2.738544107,European Union and United Kingdom
2019,5.851592679,European Union and United Kingdom
2020,5.348182406,European Union and United Kingdom
2021,12.500782453,European Union and United Kingdom
2022,11.035535805,European Union and United Kingdom
2013,0.61658439,China
2014,0.673935556,China
2015,2.086373778,China
2016,4.519861251,China
2017,6.616391256,China
2018,13.965049606,China
2019,14.051024816,China
2020,16.32769699,China
2021,22.848295305,China
2022,13.405742405,China
2013,3.620671948,United States
2014,6.957072547,United States
2015,9.300375238,United States
2016,10.154275927,United States
2017,14.065456072,United States
2018,21.051400722,United States
2019,29.054967307,United States
2020,33.937153283,United States
2021,73.395940859,United States
2022,47.357852483,United States
