Total Investment (in Billions of U.S. Dollars),Focus Area,Label
6.054310901999999,Medical and Healthcare,2022
5.857774824,"Data Management, Processing, Cloud",2022
5.523270964,Fintech,2022
5.377103221,"Cybersecurity, Data Protection",2022
4.200164287,Retail,2022
3.9184326900000004,"Industrial Automation, Network",2022
3.1772649000000004,Sales Enablement,2022
3.0506864039999995,"Marketing, Digital Ads",2022
2.3915387590000003,AR/VR,2022
1.8849433820000003,Drones,2022
1.7413273249999999,Insurtech,2022
1.715713385,"Music, Video Content",2022
1.654720554,Semiconductor,2022
1.627460026,HR Tech,2022
1.606163381,"Energy, Oil, and Gas",2022
1.3422998430000002,AV,2022
1.006271692,"NLP, Customer Support",2022
0.874970947,Agritech,2022
0.868784007,Entertainment,2022
0.830116549,Legal Tech,2022
0.714366004,Geospatial,2022
0.525979661,Fitness and Wellness,2022
0.37170381,Ed Tech,2022
0.067500016,Facial Recognition,2022
0.016,VC,2022
9.309790185,"Data Management, Processing, Cloud",2021
8.615669754,Medical and Healthcare,2021
7.133528041,Fintech,2021
4.335869189,Retail,2021
4.077164559,"Cybersecurity, Data Protection",2021
3.917398928,Sales Enablement,2021
3.7394080499999998,Entertainment,2021
2.560012264,Insurtech,2021
2.379370717,AV,2021
2.3725641530000003,"Industrial Automation, Network",2021
2.106094103,"Music, Video Content",2021
1.865601123,"Energy, Oil, and Gas",2021
1.7109714340000002,Ed Tech,2021
1.604202423,"NLP, Customer Support",2021
1.514237568,"Marketing, Digital Ads",2021
1.351178581,Agritech,2021
1.041059868,Geospatial,2021
0.7832296940000001,Fitness and Wellness,2021
0.642504609,AR/VR,2021
0.632603641,Semiconductor,2021
0.613408194,Drones,2021
0.576248455,HR Tech,2021
0.4061,Facial Recognition,2021
0.252689456,Legal Tech,2021
0.225784599,VC,2021
