Year,Geographic Area,"Data Management, Processing, Cloud",Medical and Healthcare,Fintech,AV,Semiconductor,"Industrial Automation, Network",Retail,Fitness and Wellness,"NLP, Customer Support","Energy, Oil, and Gas","Cybersecurity, Data Protection",Drones,"Marketing, Digital Ads",HR Tech,Facial Recognition,Insurtech,Agritech,Sales Enablement,AR/VR,Ed Tech,Geospatial,Legal Tech,Entertainment,"Music, Video Content",VC
2017,EU/UK,0.2495875070,0.3074572480,0.1995246470,0.0314078060,0.1024000000,0.0765970220,0.2303798070,0.0355380810,0.0402864420,0.0499440020,0.1914564070,0.0025762130,0.2270702370,0.0283256030,0.0300000000,0.0104015590,0.0068340070,0.1208990470,0.0259097560,0.0078132400,0.0695330970,0.0185809690,0.1987190550,0.0661616570,0.008525679
2018,EU/UK,0.1703204730,0.2757515690,0.2070500810,0.0280992460,0.0682533220,0.0994145750,0.1919884020,0.0527908340,0.0797613670,0.0903154230,0.1598774460,0.0213502100,0.0689866290,0.1196665570,0.0000000000,0.0967428520,0.0307608310,0.0997193920,0.0114673410,0.0178371900,0.0960523850,0.0321616070,0.0116880920,0.0251624790,0.000000000
2019,EU/UK,0.2142381510,1.0779127250,0.3133529720,0.0145188740,0.5552246830,0.3429522570,0.6545258100,0.0438576250,0.1492559710,0.0695096390,0.1520839240,0.0406886320,0.4565602600,0.3235387970,0.0602556890,0.3207673020,0.1095561160,0.0332261970,0.0248903530,0.0217794280,0.1005768310,0.1101397440,0.1219458690,0.6513875760,0.025000000
2020,EU/UK,0.3086741340,0.4354048920,0.6594441480,0.0049382720,0.0500000000,0.0261874320,0.1357262600,0.0906536420,0.0826939860,0.0336071770,0.3368814030,0.0119954350,0.0814820470,0.0000000000,0.1001665270,0.0686471260,0.0243173830,0.0896365250,0.0049382720,0.0185499580,0.0773227150,0.0724749300,0.0398275060,0.1356321820,0.000000000
2021,EU/UK,1.2420365530,1.7413539000,0.5031746370,1.0133592420,0.0857048970,0.0547980280,0.0554541060,0.0822646990,0.0693184130,0.1473728770,0.0857481200,0.0000000000,0.1829324560,0.0813484830,0.0000000000,0.1103269720,0.4698869550,0.0303397370,0.0300000000,0.1252139790,0.0127487430,0.1165066800,0.0088095980,0.3308211530,0.000000000
2022,EU/UK,0.2367649310,0.7640733910,0.9375509480,0.0160000000,0.0124000000,1.6513312300,2.0677891760,0.1400000000,0.0364867230,0.2000845180,0.2348409490,0.0422185190,0.7577735650,1.2779985780,0.0000000000,1.2889606390,0.0828809950,0.1598096830,0.0648190090,0.1027106390,0.0068507230,0.0608210850,0.1731627090,0.4411215090,0.016000000
2017,US,2.0821782380,1.6167509870,0.3870578910,0.3656070600,0.1146798470,0.3419283200,0.7484671070,0.2212215100,0.3886970630,0.3985138160,0.8103347250,0.0634310660,0.4891034410,0.2673182290,0.0185000000,0.2543264580,0.2368666820,0.6893486400,0.0973499990,0.1664033860,0.1912926470,0.0356984550,0.2767722800,0.5299737030,0.013999995
2018,US,2.9032749570,4.4036798970,1.2690611670,0.7946192690,0.3131380860,0.5733281770,1.2328556680,0.1996071390,0.6077977090,1.7963984470,1.7777076990,0.1997211680,0.5085429090,0.2735952960,0.0351738170,1.0950125680,0.1800148530,1.1239935950,0.1193750860,0.5514490460,0.6695689830,0.3113723700,0.1820396770,0.6178639130,0.101650000
2019,US,3.9596211600,3.3709493080,3.7410806440,0.9081262940,0.2282219770,0.8620038460,1.1271316960,0.1301740480,0.4471831110,0.7452385020,1.6167231430,0.0306479220,1.3753447260,0.1499999850,0.0596268140,0.9396099250,0.2674206670,1.0974603720,1.7250840360,0.3412417820,0.2375997460,0.5855443760,0.7466568690,2.3145702530,0.027000000
2020,US,4.4194609020,5.6918859310,1.4943465360,1.2978642320,0.5504101440,2.2873527040,2.0433186410,0.1958220120,0.3898716540,1.9235818350,2.6948879770,0.0793543120,0.4828710320,0.1666774930,0.0398208870,0.8294932130,0.5964666160,1.4370269230,0.4524999970,1.3335690850,0.4734493530,0.2911109240,0.1412168720,0.7785444530,0.004300000
