Quarter,Sentiment,Year,Sentiment Summary 
Q1,mixed,2018,13%
Q1,mixed,2019,15%
Q1,mixed,2020,15%
Q1,mixed,2021,14%
Q1,mixed,2022,16%
Q1,negative,2018,1%
Q1,negative,2019,1%
Q1,negative,2020,1%
Q1,negative,2021,1%
Q1,negative,2022,1%
Q1,positive,2018,86%
Q1,positive,2019,84%
Q1,positive,2020,84%
Q1,positive,2021,85%
Q1,positive,2022,84%
Q2,mixed,2018,19%
Q2,mixed,2019,18%
Q2,mixed,2020,23%
Q2,mixed,2021,12%
Q2,mixed,2022,18%
Q2,negative,2018,1%
Q2,negative,2019,2%
Q2,negative,2020,1%
Q2,negative,2021,2%
Q2,negative,2022,1%
Q2,positive,2018,81%
Q2,positive,2019,81%
Q2,positive,2020,76%
Q2,positive,2021,86%
Q2,positive,2022,81%
Q3,mixed,2018,18%
Q3,mixed,2019,21%
Q3,mixed,2020,22%
Q3,mixed,2021,16%
Q3,mixed,2022,19%
Q3,negative,2018,0%
Q3,negative,2019,3%
Q3,negative,2020,1%
Q3,negative,2021,1%
Q3,negative,2022,2%
Q3,positive,2018,81%
Q3,positive,2019,77%
Q3,positive,2020,77%
Q3,positive,2021,84%
Q3,positive,2022,79%
Q4,mixed,2018,17%
Q4,mixed,2019,17%
Q4,mixed,2020,13%
Q4,mixed,2021,20%
Q4,mixed,2022,17%
Q4,negative,2018,2%
Q4,negative,2019,3%
Q4,negative,2020,0%
Q4,negative,2021,1%
Q4,negative,2022,3%
Q4,positive,2018,81%
Q4,positive,2019,80%
Q4,positive,2020,87%
Q4,positive,2021,79%
Q4,positive,2022,80%
