Industry,Function,% of Respondents
All Industries,Human Resources,11
"Business, Legal, and Professional Services",Human Resources,11
Consumer Goods/Retail,Human Resources,14
Financial Services,Human Resources,1
Healthcare Systems/Pharma and Med. Products,Human Resources,15
High Tech/Telecom,Human Resources,6
All Industries,Manufacturing,8
"Business, Legal, and Professional Services",Manufacturing,10
Consumer Goods/Retail,Manufacturing,4
Financial Services,Manufacturing,8
Healthcare Systems/Pharma and Med. Products,Manufacturing,7
High Tech/Telecom,Manufacturing,6
All Industries,Marketing and Sales,5
"Business, Legal, and Professional Services",Marketing and Sales,9
Consumer Goods/Retail,Marketing and Sales,3
Financial Services,Marketing and Sales,7
Healthcare Systems/Pharma and Med. Products,Marketing and Sales,2
High Tech/Telecom,Marketing and Sales,4
All Industries,Product and/or Service Development,10
"Business, Legal, and Professional Services",Product and/or Service Development,8
Consumer Goods/Retail,Product and/or Service Development,4
Financial Services,Product and/or Service Development,31
Healthcare Systems/Pharma and Med. Products,Product and/or Service Development,4
High Tech/Telecom,Product and/or Service Development,7
All Industries,Risk,19
"Business, Legal, and Professional Services",Risk,16
Consumer Goods/Retail,Risk,15
Financial Services,Risk,17
Healthcare Systems/Pharma and Med. Products,Risk,22
High Tech/Telecom,Risk,38
All Industries,Service Operations,19
"Business, Legal, and Professional Services",Service Operations,20
Consumer Goods/Retail,Service Operations,31
Financial Services,Service Operations,24
Healthcare Systems/Pharma and Med. Products,Service Operations,12
High Tech/Telecom,Service Operations,21
All Industries,Strategy and Corporate Finance,21
"Business, Legal, and Professional Services",Strategy and Corporate Finance,19
Consumer Goods/Retail,Strategy and Corporate Finance,29
Financial Services,Strategy and Corporate Finance,23
Healthcare Systems/Pharma and Med. Products,Strategy and Corporate Finance,8
High Tech/Telecom,Strategy and Corporate Finance,25
All Industries,Supply-Chain Management,9
"Business, Legal, and Professional Services",Supply-Chain Management,12
Consumer Goods/Retail,Supply-Chain Management,11
Financial Services,Supply-Chain Management,2
Healthcare Systems/Pharma and Med. Products,Supply-Chain Management,8
High Tech/Telecom,Supply-Chain Management,8
