Country,Number of Professional Service Robot Manufacturers,Label
United States,2,Unknown
China,1,Unknown
Germany,0,Unknown
Japan,0,Unknown
France,0,Unknown
Russia,3,Unknown
South Korea,0,Unknown
Switzerland,1,Unknown
Canada,0,Unknown
United States,194,Incumbents
China,94,Incumbents
Germany,79,Incumbents
Japan,61,Incumbents
France,49,Incumbents
Russia,44,Incumbents
South Korea,44,Incumbents
Switzerland,34,Incumbents
Canada,35,Incumbents
United States,29,Startups
China,9,Startups
Germany,12,Startups
Japan,5,Startups
France,5,Startups
Russia,5,Startups
South Korea,3,Startups
Switzerland,4,Startups
Canada,4,Startups
