Number of Industrial Robots Installed (in Thousands),Sector,Label
87,Unspecified,2019
18,Plastic and Chemical Products,2019
52,Metal and Machinery,2019
11,Food,2019
89,Electrical/Electronics,2019
102,Automotive,2019
30,All Others,2019
87,Unspecified,2020
19,Plastic and Chemical Products,2020
44,Metal and Machinery,2020
12,Food,2020
110,Electrical/Electronics,2020
84,Automotive,2020
37,All Others,2020
107,Unspecified,2021
24,Plastic and Chemical Products,2021
64,Metal and Machinery,2021
15,Food,2021
137,Electrical/Electronics,2021
119,Automotive,2021
52,All Others,2021
