Year,"Number of CS, CE and Information Faculty",Label
2011,4366,Tenure Track
2012,4536,Tenure Track
2013,4549,Tenure Track
2014,4548,Tenure Track
2015,4711,Tenure Track
2016,4786,Tenure Track
2017,5059,Tenure Track
2018,5214,Tenure Track
2019,5252,Tenure Track
2020,5231,Tenure Track
2021,5310,Tenure Track
2011,669,Teaching Professors
2012,661,Teaching Professors
2013,487,Teaching Professors
2014,863,Teaching Professors
2015,1014,Teaching Professors
2016,1122,Teaching Professors
2017,1180,Teaching Professors
2018,831,Teaching Professors
2019,895,Teaching Professors
2020,1183,Teaching Professors
2021,1150,Teaching Professors
2011,,Other Instructors
2012,,Other Instructors
2013,,Other Instructors
2014,,Other Instructors
2015,,Other Instructors
2016,,Other Instructors
2017,,Other Instructors
2018,494,Other Instructors
2019,617,Other Instructors
2020,736,Other Instructors
2021,861,Other Instructors
2011,447,Research
2012,515,Research
2013,676,Research
2014,529,Research
2015,432,Research
2016,390,Research
2017,432,Research
2018,465,Research
2019,426,Research
2020,296,Research
2021,306,Research
2011,656,Postdoc
2012,602,Postdoc
2013,756,Postdoc
2014,689,Postdoc
2015,649,Postdoc
2016,589,Postdoc
2017,691,Postdoc
2018,653,Postdoc
2019,668,Postdoc
2020,530,Postdoc
2021,522,Postdoc
