Year,"Number of New CS, CE, and Information Faculty Hires",Label
2010,583.0,Total
2011,543.0,Total
2012,733.0,Total
2013,572.0,Total
2014,749.0,Total
2015,691.0,Total
2016,800.0,Total
2017,749.0,Total
2018,878.0,Total
2019,860.0,Total
2020,765.0,Total
2021,710.0,Total
2010,249.0,Tenure-Track
2011,258.0,Tenure-Track
2012,294.0,Tenure-Track
2013,218.0,Tenure-Track
2014,348.0,Tenure-Track
2015,320.0,Tenure-Track
2016,358.0,Tenure-Track
2017,396.0,Tenure-Track
2018,406.0,Tenure-Track
2019,422.0,Tenure-Track
2020,374.0,Tenure-Track
2021,324.0,Tenure-Track
