Reason Faculty Position Remained Unfilled (% of Total),Year,% of Responses
Didn't find a person who met our hiring goals,2011,0.366
Offers turned down,2011,0.341
"Technically vacant, not filled for admin reasons",2011,0.171
Hiring in progress,2011,0.098
Other,2011,0.024
Didn't find a person who met our hiring goals,2012,0.368
Offers turned down,2012,0.453
"Technically vacant, not filled for admin reasons",2012,0.095
Hiring in progress,2012,0.042
Other,2012,0.042
Didn't find a person who met our hiring goals,2013,0.373
Offers turned down,2013,0.549
"Technically vacant, not filled for admin reasons",2013,0.039
Hiring in progress,2013,0.029
Other,2013,0.01
Didn't find a person who met our hiring goals,2014,0.264
Offers turned down,2014,0.355
"Technically vacant, not filled for admin reasons",2014,0.099
Hiring in progress,2014,0.248
Other,2014,0.033
Didn't find a person who met our hiring goals,2015,0.263
Offers turned down,2015,0.398
"Technically vacant, not filled for admin reasons",2015,0.053
Hiring in progress,2015,0.263
Other,2015,0.023
Didn't find a person who met our hiring goals,2016,0.163
Offers turned down,2016,0.431
"Technically vacant, not filled for admin reasons",2016,0.059
Hiring in progress,2016,0.307
Other,2016,0.039
Didn't find a person who met our hiring goals,2017,0.143
Offers turned down,2017,0.519
"Technically vacant, not filled for admin reasons",2017,0.023
Hiring in progress,2017,0.278
Other,2017,0.038
Didn't find a person who met our hiring goals,2018,0.141
Offers turned down,2018,0.511
"Technically vacant, not filled for admin reasons",2018,0.03
Hiring in progress,2018,0.267
Other,2018,0.052
Didn't find a person who met our hiring goals,2019,0.131
Offers turned down,2019,0.559
"Technically vacant, not filled for admin reasons",2019,0.048
Hiring in progress,2019,0.234
Other,2019,0.028
Didn't find a person who met our hiring goals,2020,0.081
Offers turned down,2020,0.439
"Technically vacant, not filled for admin reasons",2020,0.122
Hiring in progress,2020,0.176
Other,2020,0.182
Didn't find a person who met our hiring goals,2021,0.14
Offers turned down,2021,0.53
"Technically vacant, not filled for admin reasons",2021,0.06
Hiring in progress,2021,0.22
Other,2021,0.05
