Year,Median Total Expenditure (in Millions of U.S. Dollars),Label
2011,3.98553,Public
2012,3.674956,Public
2013,3.743805,Public
2014,3.951097,Public
2015,3.528438,Public
2016,3.729141,Public
2017,4.054147,Public
2018,5.296966,Public
2019,4.715479,Public
2020,4.638017,Public
2021,5.685641,Public
2011,3.961312, Private
2012,5.184074, Private
2013,4.872, Private
2014,5.002006, Private
2015,6.883862, Private
2016,6.242489, Private
2017,7.466028, Private
2018,9.394133, Private
2019,6.16561, Private
2020,6.876458, Private
2021,9.7061775, Private
