State,State 2-digit,Requires All High Schools Offer a CS Course
Alabama,AL,1
Alaska,AK,0
Arizona,AZ,0
Arkansas,AR,1
California,CA,0
Colorado,CO,0
Connecticut,CT,1
Delaware,DE,1
District of Columbia,DC,0
Florida,FL,1
Georgia,GA,1
Hawaii,HI,1
Idaho,ID,1
Illinois,IL,1
Indiana,IN,1
Iowa,IA,1
Kansas,KS,1
Kentucky,KY,0
Louisiana,LA,0
Maine,ME,0
Montana,MT,0
Nebraska,NE,1
Nevada,NV,1
New Hampshire,NH,1
New Jersey,NJ,1
New Mexico,NM,0
New York,NY,0
North Carolina,NC,0
North Dakota,ND,0
Ohio,OH,0
Oklahoma,OK,1
Oregon,OR,0
Maryland,MD,1
Massachusetts,MA,0
Michigan,MI,0
Minnesota,MN,0
Mississippi,MS,1
Missouri,MO,1
Pennsylvania,PA,0
Rhode Island,RI,0
South Carolina,SC,1
South Dakota,SD,0
Tennessee,TN,1
Texas,TX,1
Utah,UT,0
Vermont,VT,0
Virginia,VA,1
Washington,WA,1
West Virginia,WV,1
Wisconsin,WI,0
Wyoming,WY,1
