State,State 2-digit,Public High Schools Teaching CS (% of Total State)
Alabama,AL,0.85
Alaska,AK,0.51
Arizona,AZ,0.36
Arkansas,AR,0.92
California,CA,0.4
Colorado,CO,0.57
Connecticut,CT,0.77
Delaware,DE,0.4
District of Columbia,DC,0.45
Florida,FL,0.4
Georgia,GA,0.66
Hawaii,HI,0.77
Idaho,ID,0.38
Illinois,IL,0.44
Indiana,IN,0.85
Iowa,IA,0.71
Kansas,KS,0.4
Kentucky,KY,0.63
Louisiana,LA,0.32
Maine,ME,0.6
Montana,MT,0.36
Nebraska,NE,0.52
Nevada,NV,0.83
New Hampshire,NH,0.82
New Jersey,NJ,0.67
New Mexico,NM,0.41
New York,NY,0.48
North Carolina,NC,0.61
North Dakota,ND,0.44
Ohio,OH,0.48
Oklahoma,OK,0.62
Oregon,OR,0.63
Maryland,MD,0.98
Massachusetts,MA,0.78
Michigan,MI,0.46
Minnesota,MN,0.21
Mississippi,MS,0.6
Missouri,MO,0.49
Pennsylvania,PA,0.77
Rhode Island,RI,0.86
South Carolina,SC,0.93
South Dakota,SD,0.39
Tennessee,TN,0.6
Texas,TX,0.47
Utah,UT,0.73
Vermont,VT,0.76
Virginia,VA,0.75
Washington,WA,0.47
West Virginia,WV,0.78
Wisconsin,WI,0.66
Wyoming,WY,0.55
