State,State 2-digit,Number of AP CS Exams Taken
Alaska,AK,100
Alabama,AL,2399
Arkansas,AR,1406
Arizona,AZ,1587
California,CA,31189
Colorado,CO,2584
Connecticut,CT,3251
District of Columbia,DC,352
Delaware,DE,513
Florida,FL,14864
Georgia,GA,7221
Hawaii,HI,782
Iowa,IA,521
Idaho,ID,429
Illinois,IL,8572
Indiana,IN,2883
Kansas,KS,236
Kentucky,KY,1462
Louisiana,LA,1191
Massachusetts,MA,5451
Maryland,MD,7662
Maine,ME,242
Michigan,MI,4504
Minnesota,MN,1432
Missouri,MO,1199
Mississippi,MS,400
Montana,MT,42
North Carolina,NC,6273
North Dakota,ND,109
Nebraska,NE,514
New Hampshire,NH,403
New Jersey,NJ,9391
New Mexico,NM,270
Nevada,NV,1701
New York,NY,13304
Ohio,OH,3754
Oklahoma,OK,500
Oregon,OR,714
Pennsylvania,PA,6104
Rhode Island,RI,617
South Carolina,SC,2159
South Dakota,SD,26
Tennessee,TN,2046
Texas,TX,17307
Utah,UT,612
Virginia,VA,6034
Vermont,VT,150
Washington,WA,4034
Wisconsin,WI,2080
West Virginia,WV,352
Wyoming,WY,112
