State,State 2-digit,"Number of AP CS Exams Taken per 100,000 Inhabitants"
Alaska,AK,13.62
Alabama,AL,47.51
Arkansas,AR,46.43
Arizona,AZ,21.84
California,CA,79.68
Colorado,CO,44.47
Connecticut,CT,89.72
District of Columbia,DC,52.63
Delaware,DE,51.05
Florida,FL,68.1
Georgia,GA,66.94
Hawaii,HI,54.04
Iowa,IA,16.29
Idaho,ID,22.53
Illinois,IL,67.57
Indiana,IN,42.31
Kansas,KS,8.03
Kentucky,KY,32.44
Louisiana,LA,25.74
Massachusetts,MA,77.99
Maryland,MD,124.09
Maine,ME,17.57
Michigan,MI,44.87
Minnesota,MN,25.07
Missouri,MO,19.43
Mississippi,MS,13.56
Montana,MT,3.8
North Carolina,NC,59.37
North Dakota,ND,14.01
Nebraska,NE,26.18
New Hampshire,NH,29.04
New Jersey,NJ,101.33
New Mexico,NM,12.76
Nevada,NV,54.06
New York,NY,67
Ohio,OH,31.91
Oklahoma,OK,12.53
Oregon,OR,16.78
Pennsylvania,PA,46.91
Rhode Island,RI,56.25
South Carolina,SC,41.57
South Dakota,SD,2.9
Tennessee,TN,29.36
Texas,TX,58.55
Utah,UT,18.33
Virginia,VA,69.7
Vermont,VT,23.18
Washington,WA,52.11
Wisconsin,WI,35.37
West Virginia,WV,19.71
Wyoming,WY,19.33
