(%) Time Allocated,Topic,Label
0.1,Unspecified,Unspecified
0.02,AI Techniques,"Understanding, Using, and Developing AI"
0.09,Developing AI Technologies,"Understanding, Using, and Developing AI"
0.14,AI Technologies,"Understanding, Using, and Developing AI"
0.05,Social Implications of AI,Ethics and Social Impact
0.07,Ethics of AI,Ethics and Social Impact
0.12,Application of AI to Other Domains,Ethics and Social Impact
0.18,Algorithms and Programming,AI foundations
0.12,Data Literacy,AI foundations
0.11,Contextual Problem-Solving,AI foundations
