Country,Number of Mentions of AI in Legislative Proceedings
Andorra,1
Angola,0
Armenia,3
Australia,446
Azerbaijan,5
Barbados,0
Belgium,126
Bermuda,20
Bhutan,0
Brazil,133
Cabo Verde,0
Canada,322
Cayman Islands,0
China,4
Czech Republic,16
Denmark,29
Dominican Republic,2
Ecuador,4
El Salvador,0
Estonia,55
Fiji,9
Finland,91
France,168
Gambia,0
Germany,169
Gibraltar,1
Greece,75
Hong Kong,478
Iceland,87
India,43
Ireland,306
Isle of Man,8
Israel,7
Italy,196
Japan,511
Kenya,12
Kosovo,1
Latvia,6
Lesotho,0
Liechtenstein,2
Luxembourg,1
Macao SAR,0
Madagascar,0
Malaysia,66
Maldives,0
Malta,6
Mauritius,64
Mexico,31
Moldova,0
Netherlands,83
New Zealand,27
Northern Mariana Islands,0
Norway,64
Pakistan,2
Panama,0
Papua New Guinea,2
Philippines,3
Poland,7
Portugal,31
Romania,24
Russia,67
Samoa,0
San Marino,0
Seychelles,0
Sierra Leone,0
Singapore,178
Slovenia,9
South Africa,41
South Korea,27
Spain,832
Sri Lanka,1
Sweden,84
Switzerland,21
Tanzania,0
Trinidad and Tobago,18
Ukraine,3
United Kingdom,1092
United States,626
Uruguay,3
Zambia,5
Zimbabwe,25
