Year,CS Faculty (% of Total),Label
2011,0.0010986998718183483,Native Hawaiian or Pacic Islander
2012,0.00785203280404816,Native Hawaiian or Pacic Islander
2013,0.0015281757402101242,Native Hawaiian or Pacic Islander
2014,0.0010198878123406426,Native Hawaiian or Pacic Islander
2015,0.004501500500166723,Native Hawaiian or Pacic Islander
2016,0.003148301574150787,Native Hawaiian or Pacic Islander
2017,0.00031725888324873094,Native Hawaiian or Pacic Islander
2018,0.0010577213659715926,Native Hawaiian or Pacic Islander
2019,0.0025092250922509225,Native Hawaiian or Pacic Islander
2020,0.0003131360576170346,Native Hawaiian or Pacic Islander
2021,0.0013386880856760374,Native Hawaiian or Pacic Islander
2011,0.003479216260758103,American Indian or Alaska Native
2012,0.005758157389635317,American Indian or Alaska Native
2013,0.002292263610315186,American Indian or Alaska Native
2014,0.01087880333163352,American Indian or Alaska Native
2015,0.001833944648216072,American Indian or Alaska Native
2016,0.001491300745650373,American Indian or Alaska Native
2017,0.0017449238578680203,American Indian or Alaska Native
2018,0.0042308854638863705,American Indian or Alaska Native
2019,0.0030996309963099633,American Indian or Alaska Native
2020,0.002035384374510725,American Indian or Alaska Native
2021,0.0025286330507214043,American Indian or Alaska Native
2011,0.0014649331624244644,Multiracial (Not Hispanic)
2012,0.004885709300296632,Multiracial (Not Hispanic)
2013,0.008595988538681949,Multiracial (Not Hispanic)
2014,0.008499065102838687,Multiracial (Not Hispanic)
2015,0.0053351117039013,Multiracial (Not Hispanic)
2016,0.004308202154101077,Multiracial (Not Hispanic)
2017,0.007138324873096446,Multiracial (Not Hispanic)
2018,0.004684194620731339,Multiracial (Not Hispanic)
2019,0.006346863468634686,Multiracial (Not Hispanic)
2020,0.006575857209957727,Multiracial (Not Hispanic)
2021,0.006693440428380187,Multiracial (Not Hispanic)
2011,0.015198681560153818,Black or African-American
2012,0.016925492933170475,Black or African-American
2013,0.022922636103151862,Black or African-American
2014,0.01852796192418834,Black or African-American
2015,0.021673891297099034,Black or African-American
2016,0.02336371168185584,Black or African-American
2017,0.020939086294416244,Black or African-American
2018,0.01934119069205198,Black or African-American
2019,0.0218450184501845,Black or African-American
2020,0.024424612494128698,Black or African-American
2021,0.025435073627844713,Black or African-American
2011,0.025086980406518952,Hispanic (Any Race)
2012,0.021287733379863897,Hispanic (Any Race)
2013,0.024832855778414518,Hispanic (Any Race)
2014,0.026007139214686385,Hispanic (Any Race)
2015,0.024174724908302768,Hispanic (Any Race)
2016,0.02435791217895609,Hispanic (Any Race)
2017,0.02601522842639594,Hispanic (Any Race)
2018,0.027954064672106378,Hispanic (Any Race)
2019,0.02833948339483395,Hispanic (Any Race)
2020,0.03021762956004384,Hispanic (Any Race)
2021,0.027963706678566118,Hispanic (Any Race)
2011,0.03717267899652078,Unknown
2012,0.03908567440237306,Unknown
2013,0.013371537726838587,Unknown
2014,0.03467618561958185,Unknown
2015,0.05035011670556852,Unknown
2016,0.03993371996685998,Unknown
2017,0.060437817258883246,Unknown
2018,0.036113629495315804,Unknown
2019,0.042952029520295205,Unknown
2020,0.041490527634257084,Unknown
2021,0.058158560166592294,Unknown
2011,0.2277971067570042,Asian
2012,0.2266620136101902,Asian
2013,0.24794651384909264,Asian
2014,0.2531021587625361,Asian
2015,0.2494164721573858,Asian
2016,0.2626346313173157,Asian
2017,0.2623730964467005,Asian
2018,0.2852825627077667,Asian
2019,0.2857564575645756,Asian
2020,0.2915296696414592,Asian
2021,0.2970400118994497,Asian
2011,0.6887017029848013,White
2012,0.6775431861804223,White
2013,0.6785100286532951,White
2014,0.6472887982321944,White
2015,0.6427142380793598,White
2016,0.6407622203811102,White
2017,0.6210342639593909,White
2018,0.6213357509821699,White
2019,0.6091512915129151,White
2020,0.6034131830280257,White
2021,0.5808418860627697,White
