Year,New CS Bachelor's Graduates (% of Total),Label
2011,0.005580197,American Indian or Alaskan Native
2012,0.004621401,American Indian or Alaskan Native
2013,0.002863838,American Indian or Alaskan Native
2014,0.003898853,American Indian or Alaskan Native
2015,0.004395202,American Indian or Alaskan Native
2016,0.004132876,American Indian or Alaskan Native
2017,0.002721441,American Indian or Alaskan Native
2018,0.002450469,American Indian or Alaskan Native
2019,0.002625618,American Indian or Alaskan Native
2020,0.002004183,American Indian or Alaskan Native
2021,0.002176563,American Indian or Alaskan Native
2011,0.003147804,Native Hawaiian or Pacic Islander
2012,0.002132954,Native Hawaiian or Pacic Islander
2013,0.002863838,Native Hawaiian or Pacic Islander
2014,0.002339312,Native Hawaiian or Pacic Islander
2015,0.003845802,Native Hawaiian or Pacic Islander
2016,0.002027449,Native Hawaiian or Pacic Islander
2017,0.00291583,Native Hawaiian or Pacic Islander
2018,0.003284672,Native Hawaiian or Pacic Islander
2019,0.001853377,Native Hawaiian or Pacic Islander
2020,0.001219937,Native Hawaiian or Pacic Islander
2021,0.002350688,Native Hawaiian or Pacic Islander
2011,0.039204464,Black or African-American
2012,0.048228463,Black or African-American
2013,0.041916168,Black or African-American
2014,0.035089674,Black or African-American
2015,0.03891585,Black or African-American
2016,0.034310667,Black or African-American
2017,0.03544353,Black or African-American
2018,0.036079249,Black or African-American
2019,0.03886944,Black or African-American
2020,0.036728825,Black or African-American
2021,0.038525161,Black or African-American
2011,0.014880527,Multiracial (Not Hispanic)
2012,0.015404669,Multiracial (Not Hispanic)
2013,0.018354595,Multiracial (Not Hispanic)
2014,0.018714493,Multiracial (Not Hispanic)
2015,0.022708543,Multiracial (Not Hispanic)
2016,0.031893325,Multiracial (Not Hispanic)
2017,0.033110866,Multiracial (Not Hispanic)
2018,0.033211679,Multiracial (Not Hispanic)
2019,0.036810132,Multiracial (Not Hispanic)
2020,0.04078076,Multiracial (Not Hispanic)
2021,0.041049974,Multiracial (Not Hispanic)
2011,0.058520532,Hispanic (Any Race)
2012,0.068136035,Hispanic (Any Race)
2013,0.064957042,Hispanic (Any Race)
2014,0.07485797,Hispanic (Any Race)
2015,0.0764582,Hispanic (Any Race)
2016,0.083359326,Hispanic (Any Race)
2017,0.085660597,Hispanic (Any Race)
2018,0.089937435,Hispanic (Any Race)
2019,0.092668863,Hispanic (Any Race)
2020,0.09977344,Hispanic (Any Race)
2021,0.109132857,Hispanic (Any Race)
2011,0.159536414,Asian
2012,0.175020737,Asian
2013,0.2011195,Asian
2014,0.231591846,Asian
2015,0.250343375,Asian
2016,0.282673113,Asian
2017,0.295729929,Asian
2018,0.307559958,Asian
2019,0.315485997,Asian
2020,0.339229697,Asian
2021,0.339892042,Asian
2011,0.719130062,White
2012,0.686455741,White
2013,0.66792502,White
2014,0.633507853,White
2015,0.603333028,White
2016,0.561603244,White
2017,0.544417806,White
2018,0.527476538,White
2019,0.511686573,White
2020,0.480263158,White
2021,0.466872715,White
