Year,New CS PhD Graduates (% of Total),Label
2010,,Nonbinary/Other
2011,,Nonbinary/Other
2012,,Nonbinary/Other
2013,,Nonbinary/Other
2014,,Nonbinary/Other
2015,,Nonbinary/Other
2016,,Nonbinary/Other
2017,,Nonbinary/Other
2018,,Nonbinary/Other
2019,,Nonbinary/Other
2020,0.0,Nonbinary/Other
2021,0.0012,Nonbinary/Other
2010,0.188,Female
2011,0.184,Female
2012,0.17800000000000002,Female
2013,0.172,Female
2014,0.17600000000000002,Female
2015,0.183,Female
2016,0.171,Female
2017,0.183,Female
2018,0.193,Female
2019,0.203,Female
2020,0.19899999999999998,Female
2021,0.233,Female
2010,0.812,Male
2011,0.816,Male
2012,0.8220000000000001,Male
2013,0.828,Male
2014,0.8240000000000001,Male
2015,0.8170000000000001,Male
2016,0.8290000000000001,Male
2017,0.8170000000000001,Male
2018,0.807,Male
2019,0.797,Male
2020,0.8009999999999999,Male
2021,0.7658,Male
