Year,New AI PhD Graduates (% of Total),Label
2010,0.179,Female
2011,0.18100000000000002,Female
2012,0.184,Female
2013,0.14300000000000002,Female
2014,0.225,Female
2015,0.17300000000000001,Female
2016,0.17600000000000002,Female
2017,0.155,Female
2018,0.195,Female
2019,0.221,Female
2020,0.20199999999999999,Female
2021,0.213,Female
2010,0.821,Male
2011,0.8190000000000001,Male
2012,0.816,Male
2013,0.857,Male
2014,0.775,Male
2015,0.8270000000000001,Male
2016,0.8240000000000001,Male
2017,0.845,Male
2018,0.805,Male
2019,0.779,Male
2020,0.7979999999999999,Male
2021,0.787,Male
