% of Respondents,Main Reason Americans are Excited about AI (% of Total)
0.31,"Makes life, society better"
0.13,"Saves time, more efficient"
0.1,"Inevitable progress, is the future"
0.07,"Handles mundane, tedious tasks"
0.06,Helps with work/labor
0.06,"AI is interesting, exciting"
0.06,Helps humans with difficult/dangerous tasks
0.04,More accurate than humans
0.04,Helps those who are elderly/have a disability
0.02,Personal anecdotes
0.02,"Other people's fears based on sci-fi, not reality"
0.07,Other
