Question,Country,% Agreeing With Statement
I have a good understanding of what artificial intelligence is,Argentina,64
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Argentina,60
Products and services using artificial intelligence make my life easier,Argentina,59
Products and services using artificial intelligence have more benefits than drawbacks,Argentina,55
I know which types of products and services use artificial intelligence,Argentina,47
I trust companies that use artificial intelligence as much as I trust other companies,Argentina,55
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Argentina,53
Products and services using artificial intelligence make me nervous,Argentina,33
Products and services using artificial intelligence make me nervous,Australia,51
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Australia,37
I know which types of products and services use artificial intelligence,Australia,38
I trust companies that use artificial intelligence as much as I trust other companies,Australia,36
Products and services using artificial intelligence make my life easier,Australia,46
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Australia,50
I have a good understanding of what artificial intelligence is,Australia,59
Products and services using artificial intelligence have more benefits than drawbacks,Australia,37
I have a good understanding of what artificial intelligence is,Belgium,60
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Belgium,52
Products and services using artificial intelligence make my life easier,Belgium,49
Products and services using artificial intelligence have more benefits than drawbacks,Belgium,38
I know which types of products and services use artificial intelligence,Belgium,37
I trust companies that use artificial intelligence as much as I trust other companies,Belgium,40
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Belgium,37
Products and services using artificial intelligence make me nervous,Belgium,42
I trust companies that use artificial intelligence as much as I trust other companies,Brazil,50
Products and services using artificial intelligence make me nervous,Brazil,35
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Brazil,51
I know which types of products and services use artificial intelligence,Brazil,58
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Brazil,61
Products and services using artificial intelligence make my life easier,Brazil,65
I have a good understanding of what artificial intelligence is,Brazil,69
Products and services using artificial intelligence have more benefits than drawbacks,Brazil,57
I have a good understanding of what artificial intelligence is,Canada,59
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Canada,44
Products and services using artificial intelligence make my life easier,Canada,44
Products and services using artificial intelligence have more benefits than drawbacks,Canada,32
I know which types of products and services use artificial intelligence,Canada,36
I trust companies that use artificial intelligence as much as I trust other companies,Canada,34
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Canada,32
Products and services using artificial intelligence make me nervous,Canada,49
Products and services using artificial intelligence make me nervous,Chile,36
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Chile,58
I trust companies that use artificial intelligence as much as I trust other companies,Chile,56
I know which types of products and services use artificial intelligence,Chile,59
I have a good understanding of what artificial intelligence is,Chile,76
Products and services using artificial intelligence make my life easier,Chile,70
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Chile,67
Products and services using artificial intelligence have more benefits than drawbacks,Chile,63
I trust companies that use artificial intelligence as much as I trust other companies,China,76
Products and services using artificial intelligence make me nervous,China,30
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,China,73
I know which types of products and services use artificial intelligence,China,76
Products and services using artificial intelligence have more benefits than drawbacks,China,78
Products and services using artificial intelligence make my life easier,China,87
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,China,80
I have a good understanding of what artificial intelligence is,China,67
Products and services using artificial intelligence make me nervous,Colombia,39
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Colombia,58
I know which types of products and services use artificial intelligence,Colombia,62
I trust companies that use artificial intelligence as much as I trust other companies,Colombia,57
Products and services using artificial intelligence make my life easier,Colombia,71
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Colombia,65
I have a good understanding of what artificial intelligence is,Colombia,71
Products and services using artificial intelligence have more benefits than drawbacks,Colombia,64
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,France,32
I have a good understanding of what artificial intelligence is,France,50
Products and services using artificial intelligence have more benefits than drawbacks,France,31
I know which types of products and services use artificial intelligence,France,34
I trust companies that use artificial intelligence as much as I trust other companies,France,34
Products and services using artificial intelligence make me nervous,France,32
Products and services using artificial intelligence make my life easier,France,39
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,France,45
Products and services using artificial intelligence make me nervous,Germany,37
I trust companies that use artificial intelligence as much as I trust other companies,Germany,42
I know which types of products and services use artificial intelligence,Germany,37
Products and services using artificial intelligence make my life easier,Germany,45
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Germany,44
I have a good understanding of what artificial intelligence is,Germany,50
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Germany,31
Products and services using artificial intelligence have more benefits than drawbacks,Germany,37
Products and services using artificial intelligence make my life easier,Great Britain,45
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Great Britain,46
I have a good understanding of what artificial intelligence is,Great Britain,57
I know which types of products and services use artificial intelligence,Great Britain,37
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Great Britain,33
Products and services using artificial intelligence make me nervous,Great Britain,50
Products and services using artificial intelligence have more benefits than drawbacks,Great Britain,38
I trust companies that use artificial intelligence as much as I trust other companies,Great Britain,35
I have a good understanding of what artificial intelligence is,Hungary,67
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Hungary,55
Products and services using artificial intelligence make my life easier,Hungary,50
Products and services using artificial intelligence have more benefits than drawbacks,Hungary,49
I know which types of products and services use artificial intelligence,Hungary,38
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Hungary,38
I trust companies that use artificial intelligence as much as I trust other companies,Hungary,48
Products and services using artificial intelligence make me nervous,Hungary,31
I have a good understanding of what artificial intelligence is,India,72
Products and services using artificial intelligence make my life easier,India,72
Products and services using artificial intelligence have more benefits than drawbacks,India,71
I know which types of products and services use artificial intelligence,India,69
I trust companies that use artificial intelligence as much as I trust other companies,India,68
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,India,67
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,India,74
Products and services using artificial intelligence make me nervous,India,53
Products and services using artificial intelligence have more benefits than drawbacks,Italy,50
Products and services using artificial intelligence make me nervous,Italy,26
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Italy,41
I have a good understanding of what artificial intelligence is,Italy,42
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Italy,53
Products and services using artificial intelligence make my life easier,Italy,54
I trust companies that use artificial intelligence as much as I trust other companies,Italy,48
I know which types of products and services use artificial intelligence,Italy,45
I know which types of products and services use artificial intelligence,Japan,32
Products and services using artificial intelligence have more benefits than drawbacks,Japan,42
Products and services using artificial intelligence make my life easier,Japan,52
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Japan,53
I have a good understanding of what artificial intelligence is,Japan,41
Products and services using artificial intelligence make me nervous,Japan,20
I trust companies that use artificial intelligence as much as I trust other companies,Japan,39
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Japan,30
I trust companies that use artificial intelligence as much as I trust other companies,Malaysia,61
Products and services using artificial intelligence make me nervous,Malaysia,48
I have a good understanding of what artificial intelligence is,Malaysia,61
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Malaysia,71
Products and services using artificial intelligence make my life easier,Malaysia,71
Products and services using artificial intelligence have more benefits than drawbacks,Malaysia,65
I know which types of products and services use artificial intelligence,Malaysia,61
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Malaysia,65
Products and services using artificial intelligence have more benefits than drawbacks,Mexico,65
Products and services using artificial intelligence make me nervous,Mexico,38
I trust companies that use artificial intelligence as much as I trust other companies,Mexico,60
I know which types of products and services use artificial intelligence,Mexico,62
Products and services using artificial intelligence make my life easier,Mexico,73
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Mexico,65
I have a good understanding of what artificial intelligence is,Mexico,74
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Mexico,62
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Netherlands,53
Products and services using artificial intelligence make my life easier,Netherlands,47
Products and services using artificial intelligence have more benefits than drawbacks,Netherlands,33
I know which types of products and services use artificial intelligence,Netherlands,41
I trust companies that use artificial intelligence as much as I trust other companies,Netherlands,38
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Netherlands,40
I have a good understanding of what artificial intelligence is,Netherlands,65
Products and services using artificial intelligence make me nervous,Netherlands,36
I have a good understanding of what artificial intelligence is,Peru,76
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Peru,71
Products and services using artificial intelligence make my life easier,Peru,74
I know which types of products and services use artificial intelligence,Peru,63
I trust companies that use artificial intelligence as much as I trust other companies,Peru,60
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Peru,65
Products and services using artificial intelligence make me nervous,Peru,35
Products and services using artificial intelligence have more benefits than drawbacks,Peru,70
Products and services using artificial intelligence make me nervous,Poland,30
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Poland,45
I trust companies that use artificial intelligence as much as I trust other companies,Poland,51
I know which types of products and services use artificial intelligence,Poland,52
Products and services using artificial intelligence have more benefits than drawbacks,Poland,48
Products and services using artificial intelligence make my life easier,Poland,58
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Poland,56
I have a good understanding of what artificial intelligence is,Poland,66
Products and services using artificial intelligence make me nervous,Russia,28
Products and services using artificial intelligence have more benefits than drawbacks,Russia,53
Products and services using artificial intelligence make my life easier,Russia,64
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Russia,60
I have a good understanding of what artificial intelligence is,Russia,75
I know which types of products and services use artificial intelligence,Russia,57
I trust companies that use artificial intelligence as much as I trust other companies,Russia,52
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Russia,50
Products and services using artificial intelligence make me nervous,Saudia Arabia,51
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Saudia Arabia,72
I trust companies that use artificial intelligence as much as I trust other companies,Saudia Arabia,73
I know which types of products and services use artificial intelligence,Saudia Arabia,69
Products and services using artificial intelligence have more benefits than drawbacks,Saudia Arabia,76
Products and services using artificial intelligence make my life easier,Saudia Arabia,80
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Saudia Arabia,80
I have a good understanding of what artificial intelligence is,Saudia Arabia,73
I trust companies that use artificial intelligence as much as I trust other companies,South Africa,56
Products and services using artificial intelligence make my life easier,South Africa,67
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,South Africa,72
I have a good understanding of what artificial intelligence is,South Africa,78
Products and services using artificial intelligence have more benefits than drawbacks,South Africa,57
I know which types of products and services use artificial intelligence,South Africa,57
Products and services using artificial intelligence make me nervous,South Africa,52
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,South Africa,56
Products and services using artificial intelligence make me nervous,South Korea,32
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,South Korea,62
I trust companies that use artificial intelligence as much as I trust other companies,South Korea,46
I know which types of products and services use artificial intelligence,South Korea,60
Products and services using artificial intelligence have more benefits than drawbacks,South Korea,62
Products and services using artificial intelligence make my life easier,South Korea,74
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,South Korea,76
I have a good understanding of what artificial intelligence is,South Korea,72
I trust companies that use artificial intelligence as much as I trust other companies,Spain,50
I know which types of products and services use artificial intelligence,Spain,46
Products and services using artificial intelligence have more benefits than drawbacks,Spain,53
Products and services using artificial intelligence make my life easier,Spain,59
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Spain,56
I have a good understanding of what artificial intelligence is,Spain,62
Products and services using artificial intelligence make me nervous,Spain,48
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Spain,49
I have a good understanding of what artificial intelligence is,Sweden,60
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Sweden,50
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Sweden,30
Products and services using artificial intelligence make my life easier,Sweden,46
Products and services using artificial intelligence have more benefits than drawbacks,Sweden,40
I know which types of products and services use artificial intelligence,Sweden,37
I trust companies that use artificial intelligence as much as I trust other companies,Sweden,39
Products and services using artificial intelligence make me nervous,Sweden,37
I have a good understanding of what artificial intelligence is,Turkey,68
Products and services using artificial intelligence have more benefits than drawbacks,Turkey,60
Products and services using artificial intelligence make me nervous,Turkey,48
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,Turkey,60
I trust companies that use artificial intelligence as much as I trust other companies,Turkey,63
I know which types of products and services use artificial intelligence,Turkey,60
Products and services using artificial intelligence make my life easier,Turkey,71
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,Turkey,73
Products and services using artificial intelligence make my life easier,United States,41
I have a good understanding of what artificial intelligence is,United States,63
I know which types of products and services use artificial intelligence,United States,39
I trust companies that use artificial intelligence as much as I trust other companies,United States,35
Products and services using artificial intelligence have profoundly changed my daily life in the past 3 Ð5 years,United States,36
Products and services using artificial intelligence make me nervous,United States,52
Products and services using artificial intelligence will profoundly change my daily life in the next 3 Ð5 years,United States,46
Products and services using artificial intelligence have more benefits than drawbacks,United States,35
