Question,Demographic Group,Demographic,% Agreeing With Statement
I have a good understanding of what  artificial intelligence is,Gender,Male,69
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Gender,Male,63
Products and services using artificial  intelligence make my life easier,Gender,Male,62
Products and services using artificial  intelligence have more benefits than  drawbacks,Gender,Male,55
I know which types of products and  services use artificial intelligence,Gender,Male,55
I trust companies that use artificial  intelligence as much as I trust other  companies,Gender,Male,53
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Gender,Male,51
Products and services using artificial  intelligence make me nervous,Gender,Male,38
I have a good understanding of what  artificial intelligence is,Gender,Female,60
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Gender,Female,57
Products and services using artificial  intelligence make my life easier,Gender,Female,58
Products and services using artificial  intelligence have more benefits than  drawbacks,Gender,Female,49
I know which types of products and  services use artificial intelligence,Gender,Female,46
I trust companies that use artificial  intelligence as much as I trust other  companies,Gender,Female,47
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Gender,Female,46
Products and services using artificial  intelligence make me nervous,Gender,Female,41
I have a good understanding of what  artificial intelligence is,Age,Under 35,66
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Age,Under 35,63
Products and services using artificial  intelligence make my life easier,Age,Under 35,64
Products and services using artificial  intelligence have more benefits than  drawbacks,Age,Under 35,47
I know which types of products and  services use artificial intelligence,Age,Under 35,54
I trust companies that use artificial  intelligence as much as I trust other  companies,Age,Under 35,54
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Age,Under 35,54
Products and services using artificial  intelligence make me nervous,Age,Under 35,40
I have a good understanding of what  artificial intelligence is,Age,35 to 49,65
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Age,35 to 49,61
Products and services using artificial  intelligence make my life easier,Age,35 to 49,62
Products and services using artificial  intelligence have more benefits than  drawbacks,Age,35 to 49,53
I know which types of products and  services use artificial intelligence,Age,35 to 49,51
I trust companies that use artificial  intelligence as much as I trust other  companies,Age,35 to 49,51
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Age,35 to 49,50
Products and services using artificial  intelligence make me nervous,Age,35 to 49,40
I have a good understanding of what  artificial intelligence is,Age,50 to 74,61
Products and services using artificial  intelligence will profoundly change  my daily life in the next 3 Ð5 years,Age,50 to 74,55
Products and services using artificial  intelligence make my life easier,Age,50 to 74,54
Products and services using artificial  intelligence have more benefits than  drawbacks,Age,50 to 74,46
I know which types of products and  services use artificial intelligence,Age,50 to 74,45
I trust companies that use artificial  intelligence as much as I trust other  companies,Age,50 to 74,44
Products and services using artificial  intelligence have profoundly changed  my daily life in the past 3 Ð5 years,Age,50 to 74,41
