% of Respondents,American Feelings on Potention AI Applications,Label
0.57,Perform household chores,Very/somewhat excited
0.46,Perform repetitive workplace<br>tasks,Very/somewhat excited
0.4,Diagnose medicial problem,Very/somewhat excited
0.27,Handle customer service calls,Very/somewhat excited
0.09,Make important life decisions<br>for people,Very/somewhat excited
0.09,Know people’s thoughts<br>and behaviors,Very/somewhat excited
0.24,Perform household chores,Equally excited and concerned
0.27,Perform repetitive workplace<br>tasks,Equally excited and concerned
0.24,Diagnose medicial problem,Equally excited and concerned
0.26,Handle customer service calls,Equally excited and concerned
0.16,Make important life decisions<br>for people,Equally excited and concerned
0.16,Know people’s thoughts<br>and behaviors,Equally excited and concerned
0.19,Perform household chores,Very/somewhat concerned
0.26,Perform repetitive workplace<br>tasks,Very/somewhat concerned
0.35,Diagnose medicial problem,Very/somewhat concerned
0.47,Handle customer service calls,Very/somewhat concerned
0.74,Make important life decisions<br>for people,Very/somewhat concerned
0.75,Know people’s thoughts<br>and behaviors,Very/somewhat concerned
