AI Model,Quarter,Sentiment Score
DALL-E,2022/Q1,0
LaMDA,2022/Q1,73
AlphaCode,2022/Q1,60
CoPilot,2022/Q1,29
PaLM,2022/Q1,
Gato,2022/Q1,
Imagen,2022/Q1,
Stable Diffusion,2022/Q1,
Whisper,2022/Q1,
Make-A-Video,2022/Q1,
AlphaTensor,2022/Q1,
GLM-130B,2022/Q1,
BLOOM,2022/Q1,
CICERO,2022/Q1,
ChatGPT,2022/Q1,
DALL-E,2022/Q2,42
LaMDA,2022/Q2,-9
AlphaCode,2022/Q2,79
CoPilot,2022/Q2,22
PaLM,2022/Q2,66
Gato,2022/Q2,47
Imagen,2022/Q2,24
Stable Diffusion,2022/Q2,
Whisper,2022/Q2,
Make-A-Video,2022/Q2,
AlphaTensor,2022/Q2,
GLM-130B,2022/Q2,
BLOOM,2022/Q2,
CICERO,2022/Q2,
ChatGPT,2022/Q2,
DALL-E,2022/Q3,29
LaMDA,2022/Q3,-11
AlphaCode,2022/Q3,71
CoPilot,2022/Q3,15
PaLM,2022/Q3,66
Gato,2022/Q3,84
Imagen,2022/Q3,65
Stable Diffusion,2022/Q3,35
Whisper,2022/Q3,85
Make-A-Video,2022/Q3,4
AlphaTensor,2022/Q3,
GLM-130B,2022/Q3,
BLOOM,2022/Q3,
CICERO,2022/Q3,
ChatGPT,2022/Q3,
DALL-E,2022/Q4,21
LaMDA,2022/Q4,44
AlphaCode,2022/Q4,70
CoPilot,2022/Q4,34
PaLM,2022/Q4,30
Gato,2022/Q4,65
Imagen,2022/Q4,56
Stable Diffusion,2022/Q4,52
Whisper,2022/Q4,69
Make-A-Video,2022/Q4,9
AlphaTensor,2022/Q4,96
GLM-130B,2022/Q4,55
BLOOM,2022/Q4,0
CICERO,2022/Q4,14
ChatGPT,2022/Q4,32
